submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
482725,nitanshjain,1.0000 (5),1.0000 (1),1.0000 (1),1.0000 (1),1.0000 (1),1.0000 (1),
485611,timos,2.0000 (4),0.8865 (2),0.8632 (2),0.8747 (2),0.8618 (2),0.7209 (2),
482718,tanfiona,3.2000 (3),0.8865 (2),0.8410 (4),0.8632 (3),0.8471 (3),0.6913 (4),
482735,elhammohammadi,3.2000 (3),0.8595 (3),0.8595 (3),0.8595 (4),0.8471 (3),0.6917 (3),
482757,kunwarv4,4.6000 (2),0.8541 (4),0.8103 (5),0.8316 (5),0.8118 (4),0.6197 (5),
482753,sgopala4,5.6000 (1),0.7405 (5),0.7965 (6),0.7675 (6),0.7559 (5),0.5128 (6),
