submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10',b'APso',b'APmo',b'APho'
192549,qfl,49.56 (1),72.45 (5),54.12 (1),19.95 (2),55.93 (1),61.25 (3),53.48 (1),28.38 (1),
192436,sjx,47.75 (2),74.27 (1),49.90 (3),19.42 (3),54.87 (3),60.51 (5),53.23 (2),23.84 (3),
190781,tiantian.tt,47.35 (3),71.62 (6),50.49 (2),19.99 (1),54.99 (2),58.07 (6),51.82 (6),24.80 (2),
192217,weic,47.29 (4),74.23 (2),49.13 (4),19.18 (4),54.57 (4),61.26 (2),52.48 (4),23.00 (5),
192216,Yong,47.24 (5),74.10 (3),49.09 (5),19.18 (4),54.50 (5),61.26 (1),52.49 (3),22.94 (7),
192307,Snoopy,46.84 (6),73.64 (4),48.81 (6),19.12 (6),53.25 (6),61.12 (4),52.46 (5),23.32 (4),
184967,tomorrow,44.56 (7),69.54 (7),46.49 (10),18.92 (10),52.55 (8),56.06 (7),48.12 (8),22.95 (6),
185156,Starburst,44.02 (8),68.29 (12),46.11 (12),18.65 (11),52.37 (11),55.97 (8),48.19 (7),20.43 (13),
188793,KL,43.98 (9),68.86 (8),46.66 (8),19.04 (8),52.53 (9),52.85 (13),47.32 (10),21.67 (9),
188427,nuc1203,43.98 (10),68.86 (9),46.66 (9),19.04 (8),52.53 (9),52.85 (14),47.32 (11),21.67 (10),
178775,Carl_Huang,43.82 (11),68.64 (10),46.40 (11),18.95 (9),52.40 (10),53.10 (11),47.19 (12),20.99 (11),
178826,Man,43.68 (12),65.19 (13),47.24 (7),19.07 (7),52.70 (7),53.01 (12),47.18 (13),22.70 (8),
190866,Haohao,43.16 (13),68.50 (11),45.35 (13),19.17 (5),51.35 (12),53.12 (10),47.35 (9),20.96 (12),
181416,lllllllllllllll,38.22 (14),62.37 (14),40.24 (14),17.91 (12),42.07 (13),55.38 (9),42.84 (14),19.67 (14),
178584,qjy,21.60 (15),39.80 (15),20.17 (15),12.63 (13),27.36 (14),34.13 (15),26.05 (15),6.00 (15),
