submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
353660,EdiMuskardin,0.0074658 (1),118.00 (2),0.040 (2),0.0917099 (1),
395227,kawa_yo,0.0725840 (3),90.00 (1),0.024 (1),0.1027667 (2),
397306,neuralchecker,0.0306927 (2),121.00 (3),0.057 (3),0.1072263 (3),
350156,TAYSIR-Baseline,0.9274160 (4),149.00 (4),0.154 (4),0.5855869 (4),
373864,r.hakimi,0.9274160 (4),156.00 (5),0.160 (5),0.5912362 (5),
