submission_pk,User,b'avg',b'5-1',b'5-5',b'10-1',b'10-5'
458548,white0511,0.82 (1),0.83 (1),0.90 (3),0.74 (1),0.82 (3),
465567,bebu,0.80 (2),0.81 (2),0.90 (2),0.66 (2),0.84 (2),
460644,Cathyttt,0.79 (3),0.77 (3),0.91 (1),0.64 (3),0.85 (1),
