submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
176100,gezhang,- (1),0.5387 (1),0.5509 (2),0.5415 (1),0.4315 (1),- (-),
171232,msingh,- (1),0.4762 (2),0.5121 (3),0.4875 (2),0.4083 (2),- (-),
176400,spock,- (1),0.4375 (3),0.5762 (1),0.4748 (3),0.3687 (3),- (-),
176246,hiranmai,- (1),0.0565 (4),0.0234 (4),0.0323 (4),0.3303 (4),- (-),
157483,tanfiona,- (1),0.0030 (5),0.0089 (5),0.0045 (5),0.2194 (5),- (-),
