submission_pk,User,b'mAP weighted',b'mAP',b'Jan',b'Mar',b'Apr',b'May',b'Jun',b'Jul',b'Aug',b'Sep'
140783,GroundTruth,0.264686 (1),0.2655 (1),0.3030 (1),0.2783 (1),0.2941 (1),0.2609 (1),0.2761 (1),0.2359 (1),0.2834 (1),0.1925 (1),
139374,Charles,0.219513 (2),0.2202 (3),0.2665 (3),0.2522 (3),0.2529 (2),0.2170 (2),0.2329 (2),0.2016 (2),0.2325 (2),0.1057 (4),
140403,heboyong,0.219052 (3),0.2234 (2),0.3009 (2),0.2676 (2),0.2475 (3),0.1817 (5),0.2044 (4),0.1707 (5),0.2319 (3),0.1827 (2),
136858,duongtran,0.209715 (4),0.2118 (4),0.2599 (4),0.2337 (4),0.2446 (4),0.1928 (4),0.2105 (3),0.1745 (4),0.2258 (4),0.1527 (3),
140016,BDD,0.200877 (5),0.2018 (5),0.2427 (5),0.2322 (5),0.2351 (5),0.2038 (3),0.1977 (5),0.1895 (3),0.2107 (5),0.1025 (5),
140595,yfwa_vision,0.109962 (6),0.1124 (6),0.1674 (6),0.1679 (6),0.1280 (7),0.0809 (8),0.0892 (8),0.0942 (6),0.1258 (6),0.0457 (7),
137338,DAEHANKIM,0.094307 (7),0.0961 (7),0.1149 (11),0.1250 (8),0.1370 (6),0.0891 (7),0.0954 (7),0.0777 (7),0.0855 (9),0.0443 (8),
140354,PingPingPangPangBangBangBang,0.090919 (8),0.0916 (9),0.1409 (8),0.1188 (9),0.1044 (9),0.0911 (6),0.0993 (6),0.0689 (8),0.1098 (7),0.0000 (11),
105627,juliojj,0.088395 (9),0.0919 (8),0.1555 (7),0.1282 (7),0.1082 (8),0.0649 (10),0.0645 (9),0.0611 (9),0.0921 (8),0.0609 (6),
140779,yjhuang,0.073888 (10),0.0764 (10),0.1181 (9),0.1137 (10),0.0841 (10),0.0650 (9),0.0588 (10),0.0511 (10),0.0773 (10),0.0430 (9),
139791,MiaoMiao,0.057564 (11),0.0591 (11),0.1163 (10),0.0823 (11),0.0639 (11),0.0478 (11),0.0570 (11),0.0386 (11),0.0668 (11),0.0000 (10),
123565,hsguo,0.037283 (12),0.0376 (12),0.0562 (13),0.0469 (12),0.0448 (12),0.0372 (12),0.0440 (12),0.0230 (12),0.0483 (12),0.0000 (11),
140033,enginuzun,0.006713 (13),0.0082 (13),0.0656 (12),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (11),
139787,PeterKim,0.000310 (14),0.0003 (14),0.0007 (14),0.0006 (13),0.0004 (13),0.0002 (13),0.0003 (13),0.0001 (13),0.0003 (13),0.0000 (11),
139947,lwxnba,0.000000 (15),0.0000 (15),0.0000 (15),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (11),
136773,supersugar,0.000000 (15),0.0000 (15),0.0000 (15),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (11),
124058,flypeach,0.000000 (15),0.0000 (15),0.0000 (15),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (14),0.0000 (11),
