submission_pk,User,b'Relative Absolute Error',b'Absolute Error'
105917,quanet_T2A,0.078050 (1),0.013065 (1),
90342,SLD_tfidf_baseline,0.087029 (2),0.019523 (3),
95929,gonzalezgpablo,0.107036 (3),0.019156 (2),
90316,HDy_tfidf_baseline,0.121984 (4),0.029144 (7),
90115,SLD_baseline,0.136156 (5),0.022076 (4),
90339,PACC-tfidf_baseline,0.138041 (6),0.026258 (6),
90328,ACC_tfidf_baseline,0.161129 (7),0.030900 (8),
90323,HDy_baseline,0.162854 (8),0.024210 (5),
90109,PACC_baseline,0.329025 (9),0.032267 (9),
90127,ACC_baseline,0.330230 (10),0.033739 (10),
90124,C.C._baseline,0.412218 (11),0.040534 (11),
90096,PCC_baseline,0.451816 (12),0.040770 (12),
90331,CC_tfidf_baseline,1.067483 (13),0.102858 (13),
90337,PCC_tfidf_baseline,1.361647 (14),0.144140 (14),
105902,ims,3.022446 (15),0.250666 (15),
90312,MLPE_baseline,3.266917 (16),0.322534 (16),
