submission_pk,User,b'True positive rate'
252764,lllok,0.78800 (1),
250598,JUN-HWA,0.76400 (2),
250486,soony,0.72000 (3),
253750,olmerg,0.70000 (4),
253726,jtlorente,0.65200 (5),
