submission_pk,User,b'mAP',b'mAP_S',b'AP50_S',b'AP75_S',b'AR1_S',b'AR10_S',b'mAP_L',b'AP50_L',b'AP75_L',b'AR1_L',b'AR10_L'
116671,SakuraT,0.576 (1),0.617 (1),0.845 (1),0.688 (2),0.484 (4),0.672 (1),0.536 (1),0.760 (1),0.578 (1),0.440 (1),0.611 (1),
357054,moga,0.538 (2),0.612 (3),0.835 (3),0.688 (1),0.480 (6),0.657 (3),0.464 (3),0.742 (3),0.415 (18),0.394 (4),0.558 (2),
191495,kyriemelon,0.536 (3),0.609 (4),0.839 (2),0.669 (6),0.480 (5),0.663 (2),0.464 (4),0.676 (7),0.462 (8),0.389 (6),0.551 (3),
485015,csj,0.533 (4),0.564 (12),0.786 (13),0.650 (11),0.455 (16),0.633 (11),0.502 (2),0.750 (2),0.543 (2),0.407 (2),0.537 (4),
456925,rajatkoner08,0.523 (5),0.600 (7),0.805 (8),0.667 (7),0.490 (1),0.645 (6),0.447 (6),0.677 (5),0.488 (5),0.394 (5),0.491 (8),
349073,peiyunc1989,0.520 (6),0.600 (6),0.817 (7),0.681 (3),0.472 (11),0.641 (10),0.440 (9),0.639 (17),0.459 (9),0.337 (20),0.482 (10),
394125,higher_power,0.511 (7),0.594 (9),0.804 (10),0.653 (10),0.490 (2),0.645 (8),0.427 (11),0.641 (16),0.488 (4),0.382 (9),0.467 (14),
348086,leoo,0.510 (8),0.613 (2),0.829 (5),0.680 (4),0.486 (3),0.651 (4),0.407 (15),0.630 (19),0.389 (22),0.348 (18),0.479 (11),
186959,huliang,0.509 (9),0.596 (8),0.831 (4),0.654 (9),0.473 (10),0.645 (7),0.422 (13),0.664 (11),0.456 (10),0.337 (19),0.477 (12),
109488,tianxingye,0.502 (10),0.550 (14),0.765 (19),0.601 (16),0.465 (12),0.606 (16),0.454 (5),0.664 (10),0.497 (3),0.383 (7),0.527 (5),
120221,anwesac2,0.490 (11),0.545 (16),0.754 (21),0.605 (14),0.455 (15),0.614 (13),0.436 (10),0.652 (13),0.484 (6),0.360 (12),0.493 (7),
119847,justin-zk,0.490 (12),0.539 (17),0.778 (14),0.583 (18),0.457 (14),0.609 (15),0.441 (8),0.673 (8),0.438 (13),0.395 (3),0.473 (13),
