submission_pk,User,b'AUC',b'APCER',b'BPCER',b'RANK<ACER>'
346840,CTEL_AI,98.2148 (1),9.2130 (6),1.9001 (1),5.5565 (2),
347157,MateoH,98.1706 (2),5.5044 (1),3.4992 (5),4.5018 (1),
347139,hexianhua,97.8283 (3),11.2076 (12),2.9447 (2),7.0762 (4),
346481,ew,97.5665 (4),11.2793 (13),3.0455 (3),7.1624 (6),
346519,buccellati,97.3799 (5),9.1752 (5),5.1275 (7),7.1514 (5),
346497,OPDAI,97.1574 (6),7.2058 (2),8.4120 (20),7.8089 (7),
347146,wida,97.0104 (7),12.3691 (17),3.2614 (4),7.8153 (8),
346236,horsego,96.9842 (8),8.1093 (3),4.3583 (6),6.2338 (3),
346901,Ricardozzf,96.8995 (9),10.0524 (8),9.1157 (26),9.5840 (10),
346619,O-Sullivan,96.7046 (10),10.4211 (10),6.2086 (13),8.3148 (9),
346474,zjukongming,96.5194 (11),8.5145 (4),13.2423 (31),10.8784 (16),
343040,VisionLabs,96.2544 (12),11.7261 (16),9.8013 (27),10.7637 (15),
346813,Liteling,96.0237 (13),10.0133 (7),11.1007 (29),10.5570 (13),
346782,XiangR,95.7978 (14),11.3498 (14),8.5709 (22),9.9604 (11),
346931,SeaRecluse,95.6997 (15),11.1145 (11),9.0684 (24),10.0914 (12),
344977,changzig,95.1765 (16),16.8366 (21),7.1004 (16),11.9685 (21),
344878,CookieCS,95.1755 (17),16.1331 (20),7.6464 (19),11.8897 (19),
345847,ioNetworks,95.1289 (18),15.4699 (18),8.5345 (21),12.0022 (22),
342893,ywc,95.0187 (19),17.6508 (25),5.7572 (8),11.7040 (18),
346674,ChenYifan,95.0019 (20),16.1104 (19),6.0678 (12),11.0891 (17),
344897,ShuangpengHan,94.8317 (21),18.0006 (26),5.8203 (10),11.9105 (20),
337274,quannxa_ftai,94.7838 (22),19.1206 (31),5.8082 (9),12.4644 (23),
337966,fruitai,94.7774 (23),19.3559 (33),6.5520 (14),12.9540 (26),
344427,diogo_nunes_visTeam,94.4852 (24),17.5111 (23),7.4935 (18),12.5023 (24),
340219,hanry.ham,94.3808 (25),17.1122 (22),9.0720 (25),13.0921 (27),
341411,Rizzz,94.2390 (26),18.5644 (27),6.6248 (15),12.5946 (25),
345619,Teddy12155555,93.8157 (27),17.6143 (24),8.7893 (23),13.2018 (28),
336557,burning233,93.3839 (28),23.4811 (35),5.8810 (11),14.6810 (30),
346948,SaranyanM,93.3720 (29),11.3888 (15),16.9599 (34),14.1743 (29),
335631,AjianLiu,92.0301 (30),19.1360 (32),12.8200 (30),15.9780 (31),
345771,TECHSIGN,91.9655 (31),18.8576 (30),13.3490 (32),16.1033 (32),
345353,ekaterina_ovision,91.6050 (32),25.4442 (36),7.1829 (17),16.3136 (33),
346814,DaveLi,90.7969 (33),18.7859 (28),17.2268 (35),18.0063 (35),
345710,CLFM,90.7014 (34),18.8224 (29),15.2127 (33),17.0175 (34),
346918,BokingChen,89.3764 (35),10.2726 (9),10.9745 (28),10.6236 (14),
346701,yukuner,82.1054 (36),21.5745 (34),29.7229 (36),25.6487 (36),
346149,mt403,2.0101 (37),88.1405 (37),98.0829 (37),93.1117 (37),
346810,BJUT_vipl,1.7846 (38),90.7468 (38),98.1072 (38),94.4270 (38),
