submission_pk,User,b'mAP@0.5'
405553,VictorDurnov,46.09 (1),
404510,SM_team,45.26 (2),
401359,maksimovka,45.07 (3),
396665,NoamLhiyani,44.27 (4),
405416,eladcoh3,44.20 (5),
385605,Aksell,44.17 (6),
397249,kfirgedal,43.65 (7),
392795,nir_ts,43.51 (8),
397260,amitbabayoff,43.40 (9),
395793,Naama,43.32 (10),
398736,mrk1992,43.16 (11),
405030,joochan,42.94 (12),
397076,wangzhiyu918,42.36 (13),
396418,il_copione,42.10 (14),
384233,Isaac,41.52 (15),
396189,gfreund,40.95 (16),
401129,rasyidridha,40.38 (17),
379906,ciprutdavid,40.15 (18),
382084,babyfan,39.83 (19),
387368,steamedsheep,38.30 (20),
399753,Kir,38.02 (21),
385159,aiguy,37.95 (22),
381600,mafat,37.75 (23),
381259,nvnn,37.74 (24),
355422,victthor,37.28 (25),
379179,bxb6668,36.97 (26),
365291,antformer,36.46 (27),
354719,xichen,36.32 (28),
352438,tong20214228020,35.92 (29),
391141,orton,35.89 (30),
399312,bart10,35.86 (31),
405629,shayk,35.80 (32),
399828,rotemsa,35.80 (33),
391004,baibizhe,35.72 (34),
401461,shanihalevi,35.39 (35),
379144,andyzz,35.16 (36),
352297,nonono,35.16 (36),
324116,irotem98,35.16 (36),
359293,xilinniao,34.88 (37),
399411,mike172,34.76 (38),
381215,naivelogic,34.67 (39),
405649,GA,34.37 (40),
358406,datomi,33.85 (41),
397085,euler,33.84 (42),
395465,neptune,33.84 (42),
385663,Bernhard,33.84 (42),
382278,mmac,33.84 (42),
379662,Binyamin,33.84 (42),
378987,tetelias,33.84 (42),
370792,gogo2610,33.84 (42),
366212,Parikshit,33.84 (42),
365736,royeisen,33.84 (42),
364376,ShayTeam,33.84 (42),
364319,Shreyashree,33.84 (42),
356090,yuctian,33.84 (42),
337373,Danielle,33.84 (42),
334067,jcochran66,33.84 (42),
326558,green,33.84 (42),
323007,UlisesGCMx,33.84 (42),
316102,rogeld,33.84 (42),
316077,asalhi85,33.84 (42),
315697,VL,33.84 (42),
315501,victorkras2008,33.84 (42),
309246,MAFAT_Challenge,33.84 (42),
323543,ork,33.81 (43),
405592,BloodAxe,33.79 (44),
354620,tuantuan,33.25 (45),
353623,wematan,32.93 (46),
387055,company,30.98 (47),
405593,Ramesh_B,30.37 (48),
403110,shlomocohen2,29.96 (49),
386547,eyal.ish,27.13 (50),
405206,yaelmaor,25.76 (51),
405072,moshebeutel,21.09 (52),
325875,JunyaupKim,16.10 (53),
350120,samuelkoes,10.89 (54),
316813,JohnD,5.65 (55),
379902,Zvi,4.07 (56),
321531,roigu,3.27 (57),
364466,Foniv,3.10 (58),
327188,ngthien,2.75 (59),
317792,guyarieli1,2.74 (60),
385181,Fazlehasan,2.74 (61),
375211,wangyuzhuo,2.69 (62),
357430,milind,2.49 (63),
350172,noamscohen,2.32 (64),
380478,magicjimmy,2.17 (65),
405624,Lancelot-AI,2.10 (66),
390361,GumJum,1.97 (67),
405620,RadiatorX,1.13 (68),
346664,AlonaC,0.93 (69),
405467,prak,0.57 (70),
332895,vmallela,0.57 (70),
321469,tak,0.57 (70),
349584,pollo11,0.28 (71),
401060,sra3dm,0.23 (72),
319117,dm_cs,0.14 (73),
