submission_pk,User,b'OOD-TOP-1',b'IID-TOP-1',b'OOD-shape-TOP-1',b'OOD-pose-TOP-1',b'OOD-context-TOP-1',b'OOD-texture-TOP-1',b'OOD-occlusion-TOP-1',b'OOD-weather-TOP-1'
191130,g_xyz,0.8703 (1),0.9068 (8),0.8511 (2),0.8548 (3),0.8828 (2),0.7750 (5),0.9799 (1),0.8780 (2),
192551,USTC-IAT-United,0.8682 (2),0.9109 (1),0.8521 (1),0.9032 (1),0.8952 (1),0.6893 (13),0.9775 (2),0.8920 (1),
192334,GuDeMan,0.8539 (3),0.9097 (3),0.8143 (7),0.8105 (10),0.8057 (12),0.8772 (1),0.9676 (3),0.8480 (3),
192305,sayhello,0.8451 (4),0.9103 (2),0.8230 (3),0.8763 (2),0.8691 (3),0.7013 (11),0.9529 (4),0.8480 (3),
190954,sung0,0.8266 (5),0.9092 (4),0.8210 (5),0.8266 (7),0.8249 (7),0.7167 (10),0.9445 (7),0.8260 (5),
192418,mmmmimic,0.8192 (6),0.9084 (5),0.8215 (4),0.8145 (9),0.8325 (5),0.6973 (12),0.9214 (13),0.8280 (4),
190285,vtddggg,0.8177 (7),0.9057 (10),0.8128 (8),0.8468 (4),0.8532 (4),0.6539 (19),0.9214 (13),0.8180 (6),
192473,wooks527,0.8136 (8),0.8993 (13),0.8080 (10),0.8199 (8),0.8243 (8),0.6608 (18),0.9505 (6),0.8180 (6),
192482,JUJY122,0.8067 (9),0.9059 (9),0.8147 (6),0.8078 (11),0.8139 (10),0.6796 (15),0.9240 (12),0.8000 (9),
192542,vvikash,0.7993 (10),0.8958 (14),0.7997 (12),0.8011 (12),0.7932 (16),0.7401 (8),0.8775 (17),0.7840 (12),
192474,ecnu-dmcv,0.7962 (11),0.9072 (7),0.7910 (15),0.8105 (10),0.8229 (9),0.6419 (20),0.9169 (14),0.7940 (10),
192552,Zhongqiang.Zhang,0.7958 (12),0.8564 (19),0.8089 (9),0.7030 (21),0.7953 (15),0.7847 (4),0.9431 (9),0.7400 (15),
191303,Abner,0.7884 (13),0.9068 (8),0.7929 (14),0.7823 (13),0.7988 (13),0.7173 (9),0.8534 (18),0.7860 (11),
188283,hsansui,0.7875 (14),0.8892 (15),0.7968 (13),0.8427 (5),0.8298 (6),0.5071 (25),0.9384 (10),0.8100 (7),
192547,Lge,0.7874 (15),0.8632 (18),0.8080 (10),0.6855 (22),0.7870 (17),0.7938 (3),0.9522 (5),0.6980 (20),
192151,TerminusAI,0.7819 (16),0.8692 (16),0.7740 (16),0.8333 (6),0.8112 (11),0.5820 (24),0.8870 (16),0.8040 (8),
192318,neptune,0.7780 (17),0.9035 (11),0.7619 (19),0.7608 (16),0.7560 (20),0.7419 (7),0.9375 (11),0.7100 (18),
192535,akun,0.7764 (18),0.8447 (20),0.8041 (11),0.7070 (20),0.7705 (18),0.7556 (6),0.9432 (8),0.6780 (21),
191193,djdllmj,0.7622 (19),0.9078 (6),0.7459 (21),0.7124 (19),0.6954 (24),0.8167 (2),0.8887 (15),0.7140 (17),
189218,ruipengzhang,0.7560 (20),0.9000 (12),0.7701 (17),0.7796 (14),0.7671 (19),0.6705 (17),0.7705 (21),0.7780 (13),
204421,ROBIN,0.7501 (21),0.8234 (21),0.7570 (20),0.7527 (17),0.7381 (21),0.6870 (14),0.7955 (19),0.7700 (14),
191761,wujiekd,0.7493 (22),0.8661 (17),0.7677 (18),0.7715 (15),0.7974 (14),0.6305 (22),0.7944 (20),0.7340 (16),
191399,chlwogus,0.7006 (23),0.9072 (7),0.7299 (22),0.7339 (18),0.7271 (22),0.6710 (16),0.6340 (22),0.7080 (19),
192484,houzi,0.5552 (24),0.7114 (22),0.5538 (23),0.4610 (23),0.7250 (23),0.6379 (21),0.4672 (23),0.4860 (22),
192446,zhangteng,0.4390 (25),0.4656 (23),0.4845 (24),0.2742 (24),0.5803 (25),0.5979 (23),0.3331 (24),0.3640 (23),
192407,detptsd,0.2564 (26),0.1714 (24),0.4103 (25),0.0484 (26),0.2247 (26),0.5003 (26),0.1590 (25),0.1960 (24),
188367,leslie,0.0889 (27),0.0858 (25),0.0824 (26),0.0833 (25),0.0875 (27),0.0845 (27),0.0896 (26),0.1060 (25),
