submission_pk,User,b'EvaluationScore'
274936,burimd,71.00 (1),
265200,traceelement,70.90 (2),
261248,matvogel,70.50 (3),
260193,flaviosc,70.40 (4),
259932,graldij,70.40 (4),
292707,rsanness,69.60 (5),
265473,tstreule,69.40 (6),
274062,robertca,69.30 (7),
262686,changyan,69.30 (7),
278426,spaetee,68.90 (8),
261661,esfalameh01,68.90 (8),
278371,Max313,68.80 (9),
270437,gloorli,68.80 (9),
272653,Francesco_Casucci,68.70 (10),
270646,carolnf,68.70 (10),
271608,KVr,68.60 (11),
257421,lpet,68.60 (11),
257274,mi_pana_disecado,68.60 (11),
257027,Gulliver,68.60 (11),
276850,simmlert,68.50 (12),
259276,robycalzone,68.40 (13),
263756,awaernsaeter,68.30 (14),
256374,cyrknech,68.30 (14),
277372,BjfpgZOC,68.20 (15),
258412,mskogli,68.20 (15),
270337,meryan,68.10 (16),
264787,ancina,67.90 (17),
258252,Marsmaennchen,67.90 (17),
276734,bokmang,67.80 (18),
304645,mhalter,67.50 (19),
275951,greinema,67.50 (19),
258237,wensizhang,67.50 (19),
256872,varulchelvan,67.50 (19),
261655,timgros,67.30 (20),
257070,Bibean,67.30 (20),
262692,sgeisser,67.10 (21),
262010,isalee,67.10 (21),
274397,dellalia,67.00 (22),
269852,Anunay,67.00 (22),
261681,user_123,66.90 (23),
276655,bardhd,66.80 (24),
277352,sastocke,66.70 (25),
261847,pinkpanther,66.70 (25),
264400,gustafzach,66.60 (26),
303820,Dyslit,66.50 (27),
275100,ssteam,66.50 (27),
256384,ecorey,66.50 (27),
277489,javier,66.40 (28),
274178,csvision,66.40 (28),
259321,KondiK,66.40 (28),
299702,cehmke,66.30 (29),
259349,jmatt,66.30 (29),
257438,ecetin,66.30 (29),
256381,aubingazhibo,66.30 (29),
295456,debaumann,66.20 (30),
277492,markuenz,66.20 (30),
275150,lukashol,66.20 (30),
263251,Yulomja,66.20 (30),
257313,likexi,66.10 (31),
259033,nicof,66.00 (32),
260006,Yoyoyo,65.90 (33),
261975,lian,65.80 (34),
302270,alyelhakie,65.70 (35),
264568,jgaber,65.70 (35),
291937,baltani,65.50 (36),
277268,med,65.50 (36),
263145,rcasamitjana,65.50 (36),
275794,mcummins,65.40 (37),
283018,Princess,65.30 (38),
270265,bmaechle,65.10 (39),
278427,bergar,65.00 (40),
265502,bagbelese,65.00 (40),
257470,boeschpa,64.90 (41),
277512,mpreisig,64.80 (42),
259872,dmuehlema,64.80 (42),
258136,dawalter,64.70 (43),
268512,iliadisa,64.60 (44),
261714,dstrassmann,64.60 (44),
287269,taners,64.50 (45),
277456,ullip,64.40 (46),
272761,lukaschu,64.40 (46),
257333,yurohu,64.40 (46),
277953,taskins,64.30 (47),
270396,sa_li,64.30 (47),
261903,Liuxin_ETH,64.20 (48),
275045,cici,64.10 (49),
271172,zuedavid,64.10 (49),
271072,kmosle,64.00 (50),
262569,jullrich,64.00 (50),
303822,rmahjoub,63.90 (51),
258139,azuerrer,63.70 (52),
277826,merklec,63.60 (53),
261591,tonglu,63.60 (53),
287768,wueestry,63.50 (54),
269908,Koala99,63.50 (54),
258248,appiusa,63.50 (54),
274491,Blossomer,63.30 (55),
286379,Vito,63.20 (56),
261653,liangx,63.20 (56),
296452,ruchen,63.10 (57),
270008,simschla,63.00 (58),
258067,knillm,63.00 (58),
299546,rancoder,62.90 (59),
277396,Thiemo,62.90 (59),
285852,mandala,62.80 (60),
277427,dennisv,62.80 (60),
276739,nchromec,62.80 (60),
273304,fe,62.80 (60),
270234,asperj,62.70 (61),
277511,Laura,62.60 (62),
260070,lijzou,62.60 (62),
270688,wuxiny,62.50 (63),
301626,zherud,62.40 (64),
293810,OskarPilkington,62.40 (64),
276705,sblum,62.40 (64),
303786,pblascof,62.30 (65),
276831,DogEgg,62.30 (65),
264238,lspecht,62.30 (65),
262501,totoro,62.30 (65),
258286,roberson,62.30 (65),
258089,passutte,62.30 (65),
262973,omr100,62.20 (66),
260195,gcuccorese,62.20 (66),
258124,Chuan,62.20 (66),
279639,cmerk,62.00 (67),
302900,vwolfer,61.90 (68),
257016,severinf,61.90 (68),
300892,kumarab,61.80 (69),
296021,yeehan,61.80 (69),
291376,jfricke,61.80 (69),
256349,tshpakov,61.80 (69),
298018,ekracik,61.70 (70),
275935,hlothar,61.70 (70),
270004,efunke,61.70 (70),
258002,carafael,61.70 (70),
301852,oliverbr,61.60 (71),
259083,matkurt,61.60 (71),
275872,ashenoi,61.40 (72),
269989,jaegeseb,61.40 (72),
268501,blclo,61.40 (72),
261606,luiten,61.40 (72),
277865,henzerf,61.20 (73),
270311,twdent,61.20 (73),
268898,doerk,61.20 (73),
258955,liblaser,61.20 (73),
277502,lehnpa,61.10 (74),
267119,EricUBast,61.10 (74),
271759,Yuan_XU,61.00 (75),
278307,nargran,60.90 (76),
263356,Tobias,60.90 (76),
258278,aliyucekaleli,60.90 (76),
256871,aletop,60.90 (76),
270481,Anthony_Eid,60.80 (77),
261827,pafloria,60.80 (77),
268708,schreibfheler,60.70 (78),
290657,yolo,60.70 (78),
261698,Batu_Arda_Duzgun,60.70 (78),
269749,andilic,60.60 (79),
262655,Yuanxin_Pan,60.60 (79),
261951,mgroepl,60.60 (79),
260136,tobiaste,60.60 (79),
292998,mglasder,60.50 (80),
265391,natanael_hirzel,60.50 (80),
261021,twilhelm,60.50 (80),
278103,diegomachain,60.40 (81),
263848,wenkelj,60.30 (82),
261218,cdurrer_,60.30 (82),
261069,martinjo,60.30 (82),
265997,Felicien,60.20 (83),
261982,epalma,60.10 (84),
256258,IACV_BASELINE,60.00 (85),
300496,cl,55.80 (86),
302580,annakiep,10.00 (87),
269053,jaristegui,3.30 (88),
