submission_pk,User,b'psnr_x4',b'ssim_x4',b'psrn_x2_mr2hr',b'ssim_x2_mr2hr'
343033,hxxiao,34.96 (1),0.9253 (8),20.24 (11),0.7532 (9),
343029,daicver,34.96 (1),0.9253 (8),20.01 (16),0.7384 (17),
341778,AIR,34.88 (2),0.9279 (5),21.38 (7),0.7812 (7),
341725,dxl,34.35 (3),0.9294 (2),23.95 (1),0.7970 (1),
341462,Signup,34.35 (3),0.9294 (2),20.12 (13),0.7493 (12),
341575,baseline,34.00 (4),0.9288 (3),20.12 (13),0.7493 (12),
341340,lengyu.yb,33.97 (5),0.9276 (6),22.89 (2),0.7932 (2),
343181,henlana,33.41 (6),0.9247 (10),20.77 (9),0.7497 (11),
341596,zhwzhong,32.46 (7),0.9296 (1),20.12 (13),0.7493 (12),
333715,jzsherlock,31.17 (8),0.9178 (14),22.28 (3),0.7893 (3),
341628,avengers,30.96 (9),0.8917 (16),21.23 (8),0.7723 (8),
342851,SVNIT_NTNU_1,30.67 (10),0.9280 (4),20.09 (15),0.7515 (10),
342831,Anjali_Sarvaiya,30.59 (11),0.9264 (7),20.09 (15),0.7515 (10),
342861,SVNIT_NTNU_2,30.52 (12),0.9252 (9),20.09 (15),0.7515 (10),
313561,xd132,30.39 (13),0.9230 (11),12.85 (19),0.4715 (20),
341571,quchao,30.37 (14),0.9194 (12),21.55 (6),0.7869 (6),
341463,jiangyuncheng,30.28 (15),0.9192 (13),21.60 (4),0.7874 (4),
341452,SSOEjyc,30.28 (15),0.9192 (13),21.58 (5),0.7871 (5),
342795,mohramzy25,29.86 (16),0.9131 (15),19.21 (18),0.6353 (19),
341422,LjH,29.64 (17),0.8832 (17),20.10 (14),0.7424 (13),
306971,Tell_me_why,29.62 (18),0.8827 (18),20.14 (12),0.7421 (14),
336136,hys,28.74 (19),0.8336 (20),20.09 (15),0.7390 (15),
343120,patrick_bateman,28.47 (20),0.8666 (19),20.27 (10),0.7353 (18),
311632,xiaozhazha,27.53 (21),0.8125 (21),20.00 (17),0.7385 (16),
343186,XkaLAb,0.01 (22),0.0001 (22),0.01 (20),0.0001 (21),
341777,Hihumi,0.01 (22),0.0001 (22),0.01 (20),0.0001 (21),
341346,YJingyu,0.01 (22),0.0001 (22),0.01 (20),0.0001 (21),
324981,sayednadim,0.01 (22),0.0001 (22),0.01 (20),0.0001 (21),
