submission_pk,User,Overlap
5981,craspntg,0.791650 (1),
6391,lionelpigou,0.789675 (2),
5851,07wanglimin,0.786318 (3),
3631,juyong.chang,0.712715 (4),
6061,gurkirtsingh2006,0.682827 (5),
6511,jiaxiang.wu,0.650461 (6),
3981,ajjendj,0.579464 (7),
2101,hugo.jair,0.478751 (8),
4801,rocco.derosa,0.450637 (9),
1571,xbaro,0.372892 (10),
6591,neverova.natalia,0.105044 (11),
