submission_pk,User,ExecutionTime,Forward AUC,Reverse AUC,Bidirectional AUC
3561,jose.fonollosa,1942.34 (4),0.820183 (2),0.843490 (1),0.831836 (1),
8931,wzhang009,1069.58 (3),0.823987 (1),0.836836 (2),0.830412 (2),
2971,irjudson,3868.45 (5),0.818943 (3),0.834570 (3),0.826756 (3),
2991,reference,295.43 (2),0.550647 (4),0.565181 (4),0.557914 (4),
4441,flaxman,292.12 (1),0.550647 (4),0.565181 (4),0.557914 (4),
