submission_pk,User,satisfied,imprediff,revenue,interscore,intrascore
402347,VeritableSaucisseDeMontbeliard,169.00 (1),0.0000 (1),66.7340 (1),3.8950 (5),6.8120 (3),
402355,vfour,169.00 (1),0.0010 (2),66.4980 (2),4.4080 (6),8.5800 (7),
402357,BoF,168.00 (2),0.0010 (2),65.8740 (3),3.1270 (4),7.1620 (4),
402345,cassini,151.00 (3),0.0010 (2),59.0900 (4),5.1900 (7),7.7930 (6),
402303,Les_Charrettes,86.00 (4),1.9230 (5),23.5810 (6),1.9500 (2),6.0720 (1),
402333,matthieu,77.00 (5),1.0210 (4),28.7550 (5),2.7870 (3),6.7890 (2),
402369,projectx,2.00 (6),0.0350 (3),0.8540 (7),1.5610 (1),7.2530 (5),
