submission_pk,User,Error
88071,liuxin,0.323886 (1),
88171,just_try_it,0.340366 (2),
88631,cristian.canton,0.359943 (3),
88661,really,0.367593 (4),
81051,pietikainen_fv,0.376615 (5),
88891,palm_seu,0.378802 (6),
85571,AAAA,0.380615 (7),
75571,cvl,0.387064 (8),
88251,all_about_faces,0.401531 (9),
88311,csmath,0.402080 (10),
87411,cynthia,0.404495 (11),
88671,dotadota,0.425192 (12),
66081,aaabbb,0.436546 (13),
88201,AI_ML,0.443964 (14),
87911,xperzy,0.449342 (15),
81311,fulrbuaa,0.467456 (16),
88121,BingZhangHu,0.477079 (17),
82091,ctm,0.479146 (18),
70671,cat,0.480414 (19),
68901,Raducu,0.481259 (20),
88831,frkngrpnr,0.483337 (21),
73691,cpu90,0.487716 (22),
76031,guillem,0.494785 (23),
73801,joewan10,0.496569 (24),
80221,RadekSvoboda,0.498314 (25),
87771,mahehu,0.524103 (26),
75501,mpopescu,0.550429 (27),
83051,stevenwudi,0.603958 (28),
71351,vismay,0.617841 (29),
77161,mxage,0.620290 (30),
77891,Azi,0.628085 (31),
61181,devil14,0.632358 (32),
47071,PabloPG,0.686668 (33),
77421,sabrina,0.689935 (34),
87691,stoudemireyan32,0.999502 (35),
57031,abhishek4,1.000000 (36),
