submission_pk,User,Click Log Loss,Improvement vs Naive (%),Degradation vs Oracle (%)
950031,fnoob,0.228707 (1),29.51 (1),-2.47 (1),
950041,yhdota,0.228707 (1),29.51 (1),-2.47 (1),
950020,guruqu,0.228707 (1),29.51 (1),-2.47 (1),
951610,ml314,0.229662 (2),29.22 (2),-2.90 (2),
949681,siudej,0.229731 (3),29.20 (3),-2.93 (3),
949554,mbw1131,0.229862 (4),29.16 (4),-2.99 (4),
951629,ramezani,0.230858 (5),28.85 (5),-3.44 (5),
949237,dratewka,0.230864 (6),28.85 (5),-3.44 (5),
949192,dvdu,0.230877 (7),28.85 (5),-3.45 (6),
949146,kamile,0.230877 (7),28.85 (5),-3.45 (6),
937759,mgajek,0.230975 (8),28.82 (6),-3.49 (7),
930589,RR,0.231019 (9),28.80 (7),-3.51 (8),
951736,kss,0.231040 (10),28.80 (7),-3.52 (9),
936465,lm81,0.231180 (11),28.75 (8),-3.58 (10),
951097,will_go,0.231674 (12),28.60 (9),-3.80 (11),
951165,sdadams,0.232054 (13),28.48 (10),-3.97 (12),
951450,or,0.232096 (14),28.47 (11),-3.99 (13),
941888,mdecock,0.232124 (15),28.46 (12),-4.01 (14),
951780,sanzgiri,0.232206 (16),28.44 (13),-4.04 (15),
951655,mlhusky,0.232307 (17),28.41 (14),-4.09 (16),
929789,owruby,0.232393 (18),28.38 (15),-4.13 (17),
950022,p_a_arty,0.232662 (19),28.30 (16),-4.25 (18),
931496,sergey_msu,0.232874 (20),28.23 (17),-4.34 (19),
929767,biz00bask,0.233054 (21),28.17 (18),-4.42 (20),
929748,krosh17,0.233069 (22),28.17 (18),-4.43 (21),
941285,meliodas,0.233569 (23),28.02 (19),-4.65 (22),
929783,timlou,0.233607 (24),28.00 (20),-4.67 (23),
939456,tEarth,0.233957 (25),27.90 (21),-4.83 (24),
935648,ak_iyama,0.234206 (26),27.82 (22),-4.94 (25),
929763,aflatoon,0.234397 (27),27.76 (23),-5.02 (26),
949960,rmckenna,0.234835 (28),27.63 (24),-5.22 (27),
949924,steveng,0.237185 (29),26.90 (25),-6.27 (28),
950359,zouwuhe,0.237325 (30),26.86 (26),-6.34 (29),
931065,darya.gordiyuk,0.237678 (31),26.75 (27),-6.49 (30),
934078,knyght,0.238304 (32),26.56 (28),-6.77 (31),
929777,rookie102,0.242135 (33),25.38 (29),-8.49 (32),
929754,ek,0.242233 (34),25.35 (30),-8.54 (33),
951346,ColdWheels,0.243758 (35),24.88 (31),-9.22 (34),
