submission_pk,User,RANK<ACER>,APCER,BPCER,AUC
912631,cyberlink_rdme,1.6217 (1),0.8444 (3),2.3991 (5),0.983665 (16),
914270,reallm,2.3601 (2),0.6141 (2),4.1061 (13),0.982792 (17),
914609,zhishanli,2.6421 (3),3.6232 (12),1.6609 (2),0.994834 (4),
914773,Iverson,2.8315 (4),2.3413 (7),3.3218 (7),0.995440 (1),
914412,ZhihaoGu,3.0359 (5),1.6658 (4),4.4060 (15),0.995116 (3),
914858,mingmuchen,3.0430 (6),2.3259 (6),3.7601 (11),0.990954 (8),
914857,oleggrinch,3.1226 (7),3.6386 (13),2.6067 (6),0.995209 (2),
914903,inspire,3.2221 (8),4.1836 (15),2.2607 (4),0.987094 (12),
914119,zkyezhang_,3.3201 (9),1.9575 (5),4.6828 (16),0.994775 (5),
914870,CV_newbie,3.4787 (10),5.4349 (17),1.5225 (1),0.985502 (13),
914538,msxf-liang.gao01,3.7112 (11),3.2932 (10),4.1292 (14),0.991128 (7),
914607,clks,4.0022 (12),4.6365 (16),3.3679 (9),0.990857 (9),
914533,fscr,4.4993 (13),3.3699 (11),5.6286 (20),0.990572 (10),
914531,hyokong,5.4909 (14),3.6693 (14),7.3126 (25),0.987157 (11),
914497,dpc1990,5.7727 (15),2.3873 (8),9.1580 (28),0.991135 (6),
914457,mfang,6.4088 (16),9.4726 (26),3.3449 (8),0.978301 (20),
914547,DXM-DI-AI-CV-TEAM,6.5411 (17),7.5919 (22),5.4902 (19),0.969709 (27),
910990,SeaRecluse,6.6491 (18),7.0930 (21),6.2053 (23),0.978510 (19),
914700,HaoyuanZheng,6.8490 (19),2.6714 (9),11.0265 (30),0.984498 (15),
914569,dlavender,6.9144 (20),11.6143 (28),2.2145 (3),0.979651 (18),
914548,Yu_He,7.0119 (21),5.5347 (18),8.4890 (27),0.985237 (14),
913099,Tsien2021,7.4359 (22),8.7127 (24),6.1592 (22),0.975581 (23),
914386,Thomas123,7.6037 (23),5.7496 (19),9.4579 (29),0.977172 (22),
914578,ddddddqiu,7.6528 (24),11.3380 (27),3.9677 (12),0.972030 (26),
913945,sama_cmb,7.8022 (25),12.0058 (31),3.5986 (10),0.972844 (24),
913434,lifeplayer,7.8353 (26),9.2577 (25),6.4129 (24),0.972265 (25),
914517,yuchunwang,8.4137 (27),11.7525 (29),5.0750 (17),0.959459 (29),
914509,LeH,8.5597 (28),11.9060 (30),5.2134 (18),0.958951 (30),
914235,YilongZhang,9.3549 (29),12.7351 (32),5.9746 (21),0.966293 (28),
912098,meles-may,9.6442 (30),7.0162 (20),12.2722 (32),0.958021 (31),
913845,Orbbec-FaceAI,9.9896 (31),7.7762 (23),12.2030 (31),0.957445 (32),
914381,hanry.ham,12.8377 (32),17.7401 (33),7.9354 (26),0.931882 (33),
914848,msxf_cs,50.0000 (33),0.0000 (1),100.0000 (33),0.978036 (21),
