submission_pk,User,mAP
958941,sophiezang,68.48 (1),
966317,zZamm,60.17 (2),
1141651,zhangyupeng,56.85 (3),
1094761,wqh834339683,55.14 (4),
1029263,ultrahuang123,54.52 (5),
1036609,rose_is_blue,51.41 (6),
1043558,Panghu,51.32 (7),
1147707,moye12325,48.76 (8),
1147691,czp,48.76 (8),
1042154,Lockhart,48.76 (8),
1147685,DONGGUANLIANG,48.02 (9),
970955,Lzzzzzm,47.94 (10),
960657,momo233,47.64 (11),
1112473,WatanabeYou,46.44 (12),
1147708,heliu,46.00 (13),
1130068,ZZZZZZXM,46.00 (13),
1066019,Eden,42.87 (14),
1147321,kyle.yang,42.60 (15),
1080675,wumian,41.56 (16),
1031436,xiaohei1001,41.26 (17),
1124760,zzowenzz,0.00 (18),
1098381,ninja119,0.00 (18),
