submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
496578,Schoolyellow,25.02 (1),0.89 (2),0.53 (6),0.00 (2),0.00 (2),
498596,kuldeeppurohit3,24.74 (2),0.89 (1),10.00 (3),0.00 (2),0.00 (2),
498129,Bear,24.45 (3),0.88 (4),0.43 (7),0.00 (2),0.00 (2),
496589,q19911124,24.33 (4),0.88 (3),0.27 (9),0.00 (2),0.00 (2),
494407,JSChoi,23.90 (5),0.84 (6),1.00 (5),0.00 (2),0.00 (2),
496363,tensorcat,23.46 (6),0.87 (5),1.18 (4),0.00 (2),1.00 (1),
493188,rliu,22.88 (7),0.84 (7),0.42 (8),0.00 (2),0.00 (2),
496165,kmaeii,22.76 (8),0.84 (8),0.09 (10),0.00 (2),0.00 (2),
490102,ghoshsujoy19,22.13 (9),0.77 (10),36.37 (1),1.00 (1),0.00 (2),
494487,akshayjin,21.76 (10),0.79 (9),30.00 (2),1.00 (1),0.00 (2),
482647,Radu,21.42 (11),0.72 (11),-1.00 (11),-1.00 (3),-1.00 (3),
