submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
446468,ecsuiplab,0.00 (1),0.00 (1),120.53 (2),1.00 (1),0.00 (2),
446509,rutgerssprinter,0.00 (1),0.00 (1),10.85 (9),0.00 (2),0.00 (2),
446844,MKFMIKU,0.00 (1),0.00 (1),10.00 (11),0.00 (2),0.00 (2),
446576,sehwan,0.00 (1),0.00 (1),4.80 (16),0.00 (2),0.00 (2),
446799,lizhangray,0.00 (1),0.00 (1),-1.00 (19),-1.00 (3),-1.00 (3),
446718,liujl09,0.00 (1),0.00 (1),8.00 (14),0.00 (2),0.00 (2),
446817,shuffle,0.00 (1),0.00 (1),92.00 (3),1.00 (1),0.00 (2),
446845,IMCL,0.00 (1),0.00 (1),4.46 (17),0.00 (2),1.00 (1),
446789,qxc,0.00 (1),0.00 (1),17.40 (8),0.00 (2),0.00 (2),
446801,ranjanisi,0.00 (1),0.00 (1),20.61 (5),1.00 (1),0.00 (2),
446838,fks,0.00 (1),0.00 (1),10.29 (10),0.00 (2),1.00 (1),
446861,AnilGenc,0.00 (1),0.00 (1),8.10 (13),1.00 (1),0.00 (2),
446829,hjsim,0.00 (1),0.00 (1),5.00 (15),0.00 (2),1.00 (1),
446625,TMAC,0.00 (1),0.00 (1),0.20 (18),0.00 (2),0.00 (2),
445859,MCPRL,0.00 (1),0.00 (1),5.00 (15),0.00 (2),0.00 (2),
446567,DemirAdil,0.00 (1),0.00 (1),20.00 (6),1.00 (1),0.00 (2),
446614,hjy,0.00 (1),0.00 (1),1796.65 (1),0.00 (2),0.00 (2),
446760,MTLab_method_1,0.00 (1),0.00 (1),57.76 (4),0.00 (2),0.00 (2),
446815,zhaoruhao,0.00 (1),0.00 (1),9.89 (12),0.00 (2),0.00 (2),
446285,phunghx,0.00 (1),0.00 (1),18.68 (7),0.00 (2),0.00 (2),
