submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
939258,HW-TSC,2.60 (2),0.3681 (1),0.2970 (3),0.2479 (3),2243954093.0 (3),560944640.0 (3),
934899,Abulice,2.40 (1),0.3119 (2),0.3398 (4),0.2803 (4),100000.0 (1),9501148.0 (1),
940569,IST-Unbabel,2.60 (2),0.2904 (3),0.2656 (1),0.2197 (1),2294887576.0 (4),569368609.0 (4),
940556,fblain,2.40 (1),0.2822 (4),0.2866 (2),0.2455 (2),1142441796.0 (2),281297685.0 (2),
