submission_pk,User,F1-Bad,F1-Good,F1-Multi
780077,tharindu,0.6871 (1),0.8851 (1),0.6081 (1),
479218,junjiehu,0.5748 (2),0.7622 (5),0.4381 (4),
479205,junjieh,0.5748 (2),0.7622 (5),0.4381 (4),
468273,carolscarton,0.5564 (3),0.7961 (4),0.4430 (3),
468013,fblain,0.5337 (4),0.8336 (2),0.4449 (2),
469272,bicici,0.5280 (5),0.8257 (3),0.4360 (5),
470510,mespla,0.4217 (6),0.7529 (6),0.3175 (6),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
780077,tharindu,0.2053 (1),0.9827 (1),0.2018 (1),
468273,carolscarton,0.1711 (2),0.9769 (3),0.1671 (2),
470510,mespla,0.1541 (3),0.9540 (4),0.1470 (3),
469272,bicici,0.1059 (4),0.9810 (2),0.1039 (4),
468013,fblain,0.0000 (5),0.0000 (5),0.0000 (5),
479218,junjiehu,0.0000 (5),0.0000 (5),0.0000 (5),
479205,junjieh,0.0000 (5),0.0000 (5),0.0000 (5),
submission_pk,User,F1-Bad,F1-Good,F1-Multi
780077,tharindu,0.6036 (1),0.8825 (1),0.5327 (1),
468273,carolscarton,0.4926 (2),0.7994 (2),0.3937 (2),
469272,bicici,0.3229 (3),0.7962 (3),0.2571 (3),
468013,fblain,0.0000 (4),0.0000 (4),0.0000 (4),
470510,mespla,0.0000 (4),0.0000 (4),0.0000 (4),
479218,junjiehu,0.0000 (4),0.0000 (4),0.0000 (4),
479205,junjieh,0.0000 (4),0.0000 (4),0.0000 (4),
