submission_pk,User,AP,AP50,AP75,APm,APl
477509,ML_LAB,0.30 (1),0.64 (1),0.25 (2),0.12 (1),0.32 (1),
476447,Molength,0.29 (2),0.63 (2),0.23 (3),0.12 (2),0.31 (3),
473104,DensePose_R101_FPN_32x8d_s1x_e,0.29 (3),0.57 (3),0.26 (1),0.02 (6),0.32 (2),
473107,DensePose_R101_FPN_s1x-e2e,0.26 (4),0.55 (4),0.22 (4),0.02 (3),0.29 (4),
473105,DensePose_R101_FPN_s1x,0.25 (5),0.53 (5),0.21 (6),0.02 (4),0.28 (5),
473103,DensePose_R101_FPN_32x8d_s1x,0.25 (6),0.53 (6),0.22 (5),0.02 (7),0.28 (6),
473111,DensePose_R50_FPN_s1x,0.24 (7),0.51 (7),0.19 (8),0.02 (5),0.26 (7),
473113,DensePose_R50_FPN_s1x-e2e,0.23 (8),0.51 (8),0.19 (7),0.01 (8),0.26 (8),
