submission_pk,User,Rank Target,Target AUC,Target AP,Target Recall at top-K,Rank Source,Source AUC,Source AP,Source Recall at top-K,Sentence-level Pearson's
966982,Raphael_NICT,1.000 (1),0.904 (1),0.843 (1),0.749 (1),1.000 (1),0.876 (1),0.781 (1),0.667 (1),0.807 (1),
966927,polak_pe,2.000 (2),0.892 (2),0.829 (2),0.729 (2),2.000 (2),0.832 (2),0.728 (2),0.612 (2),0.776 (2),
953811,yukiar,3.000 (3),0.742 (3),0.620 (3),0.512 (3),3.000 (3),0.746 (3),0.631 (3),0.507 (3),0.505 (5),
925847,Gringham,4.000 (4),0.695 (4),0.579 (4),0.469 (4),6.000 (6),-1.000 (6),-1.000 (6),-1.000 (6),0.560 (4),
964854,melexi,5.000 (5),0.622 (5),0.509 (5),0.401 (5),6.000 (6),-1.000 (6),-1.000 (6),-1.000 (6),0.722 (3),
960091,yg211,6.000 (6),0.593 (6),0.444 (6),0.338 (6),4.000 (4),0.513 (4),0.394 (4),0.262 (4),0.415 (6),
964517,Tasnim,7.000 (7),0.505 (7),0.387 (7),0.284 (7),5.000 (5),0.496 (5),0.380 (5),0.249 (5),-0.048 (7),
918209,plj129,7.000 (7),0.505 (7),0.387 (7),0.284 (7),5.000 (5),0.496 (5),0.380 (5),0.249 (5),-0.048 (7),
