submission_pk,User,ARI
736118,Artem_Vazhentsev,0.2541 (1),
738631,alexbelov,0.2099 (2),
723335,dementyeva_ds,0.1764 (3),
738412,davypiraylenko,0.1630 (4),
737526,vanessa,0.1596 (5),
736632,palette_knife25,0.1541 (6),
737235,alexalexalex,0.1467 (7),
739278,MironKuznetsov,0.0640 (8),
739370,alexeygb,-0.0030 (9),
