submission_pk,User,ROC-AUC
845293,Samson,0.68 (1),
846123,DeepBlueAI,0.68 (2),
846550,NELSLIP,0.67 (3),
846552,DETA,0.63 (4),
846428,NC717,0.63 (5),
846203,phamnhattruong.skyo,0.58 (6),
842421,HU_XIAORAN,0.57 (7),
841517,emoregcom-organizers,0.51 (8),
