submission_pk,User,Average,MAP,RANK_K
964524,Anonymous,0.40 (1),0.21 (1),0.59 (2),
539270,Anonymous,0.39 (2),0.18 (2),0.60 (1),
963730,Anonymous,0.28 (3),0.11 (3),0.45 (3),
968382,Anonymous,0.23 (4),0.08 (4),0.38 (4),
539289,Anonymous,0.23 (4),0.08 (4),0.38 (4),
539279,Anonymous,0.23 (4),0.08 (4),0.38 (4),
539264,Anonymous,0.19 (5),0.06 (7),0.32 (5),
539260,Anonymous,0.18 (6),0.06 (6),0.29 (6),
539334,Anonymous,0.17 (7),0.07 (5),0.28 (7),
537930,Anonymous,0.02 (8),0.00 (10),0.04 (8),
539336,Anonymous,0.02 (9),0.01 (9),0.04 (9),
535477,Anonymous,0.02 (10),0.01 (8),0.03 (10),
