submission_pk,User,F1,Precision,Recall
1078209,omnifish_ygb,0.822 (1),0.822 (3),0.824 (1),
1076220,jplu,0.822 (2),0.830 (2),0.814 (2),
1077283,lld,0.813 (3),0.820 (4),0.806 (3),
1068965,mystic,0.798 (4),0.846 (1),0.758 (8),
1037472,ChenGuimin,0.796 (5),0.802 (6),0.790 (4),
1086280,Fadi,0.793 (6),0.804 (5),0.783 (5),
1083213,zhangxinghua_iie,0.783 (7),0.792 (7),0.776 (6),
1056246,pvf,0.778 (8),0.784 (9),0.774 (7),
1065070,cool,0.765 (9),0.774 (10),0.757 (9),
1078990,lisaterumi,0.743 (10),0.760 (11),0.728 (12),
1087233,dedsec,0.742 (11),0.753 (12),0.733 (11),
1026823,CestDoDo,0.741 (12),0.792 (8),0.699 (15),
1033485,emanuela.boros,0.738 (13),0.741 (13),0.741 (10),
1083233,sumandowlagar,0.717 (14),0.725 (14),0.711 (13),
1029325,wangkxu,0.704 (15),0.719 (15),0.700 (14),
1030996,multiconer_codalab_2022,0.600 (16),0.617 (16),0.590 (17),
1032355,Wolk1612,0.596 (17),0.583 (18),0.612 (16),
1087062,tfnribeiro,0.572 (18),0.601 (17),0.570 (18),
1047054,goga,0.491 (19),0.489 (19),0.501 (19),
