submission_pk,User,<Rank>,MSE,PSNR,SSIM
470737,CVxTz,1.0000 (1),0.0189 (1),17.6968 (1),0.8427 (1),
471752,rgsl888,2.3333 (2),0.0231 (2),16.9688 (2),0.8093 (3),
471672,hcilab,3.3333 (3),0.0238 (3),16.6465 (3),0.8033 (4),
471640,sukeshadigav,3.3333 (3),0.0268 (4),16.5534 (4),0.8261 (2),
