submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
941021,HW-TSC,2.00 (1),0.6664 (1),0.7395 (1),0.9098 (3),2243954093.0 (2),560944640.0 (3),
939038,IST-Unbabel,2.60 (2),0.6486 (2),0.7285 (2),0.9150 (2),2294881977.0 (3),569368609.0 (4),
939913,sding,2.60 (2),0.6342 (3),0.7126 (3),0.9215 (1),6863178235.0 (4),484431872.0 (2),
940577,fblain,2.80 (3),0.5362 (4),0.6415 (4),0.8623 (4),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
941021,HW-TSC,2.20 (1),0.4457 (1),0.4491 (1),0.9737 (4),2243954093.0 (2),560944640.0 (3),
939038,IST-Unbabel,2.60 (3),0.3574 (2),0.3771 (2),0.9799 (2),2294881977.0 (3),569368609.0 (4),
939913,sding,2.80 (4),0.2079 (3),0.1619 (4),0.9834 (1),6863178235.0 (4),484431872.0 (2),
940577,fblain,2.40 (2),0.2050 (4),0.2290 (3),0.9756 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
941021,HW-TSC,2.00 (1),0.6140 (1),0.6940 (1),0.8979 (2),2243954093.0 (3),560944640.0 (3),
939038,IST-Unbabel,2.60 (2),0.6032 (2),0.6886 (2),0.9103 (1),2294881977.0 (4),569368609.0 (4),
940577,fblain,2.60 (2),0.5114 (3),0.6183 (3),0.8712 (3),1142441796.0 (2),281297685.0 (2),
939913,sding,2.80 (3),0.0000 (4),0.0000 (4),0.0000 (4),0.0 (1),0.0 (1),
