submission_pk,User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration
186921,aad_freiburg,1.60 (1),0.6530 (1),0.5175 (2),0.2843 (1),0.7821 (1),0.3823 (3),5.06 (7),
173211,ideal.intel.analytics,3.60 (2),0.6137 (3),0.5263 (1),0.2455 (5),0.7271 (7),0.3863 (2),2.02 (19),
173251,abhishek4,5.40 (3),0.5946 (6),0.5064 (6),0.2251 (7),0.7574 (3),0.3720 (5),2.01 (21),
186981,abhhishek-GPU,5.60 (4),0.5694 (10),0.5001 (9),0.2381 (6),0.7617 (2),0.3870 (1),2.02 (18),
187011,postech.mlg_exbrain,5.80 (5),0.6317 (2),0.5079 (4),0.2569 (3),0.5779 (12),0.3222 (8),3.03 (11),
186961,djajetic_GPU,6.20 (6),0.5816 (9),0.5061 (7),0.2469 (4),0.7498 (5),0.3654 (6),133.09 (5),
187001,aad_freiburg-GPU,6.20 (6),0.5866 (8),0.4540 (13),0.2673 (2),0.7557 (4),0.3782 (4),7.06 (6),
186931,lisa,8.00 (7),0.5969 (4),0.5141 (3),0.2018 (9),0.5409 (15),0.2993 (9),3.03 (12),
186941,agrigorev_GPU,9.40 (8),0.5595 (11),0.4793 (12),0.1942 (11),0.7378 (6),0.3433 (7),2.01 (20),
182981,lise_sun,11.20 (9),0.5967 (5),0.4139 (15),0.2098 (8),0.5986 (11),0.2342 (17),3.03 (10),
186971,djajetic,11.40 (10),0.5898 (7),0.4906 (11),0.1497 (13),0.3924 (16),0.2900 (10),5845.55 (1),
171661,marc.boulle,11.60 (11),0.5175 (13),0.5071 (5),0.1871 (12),0.6597 (10),0.1902 (18),3.01 (13),
172281,agrigorev,12.20 (12),0.5435 (12),0.4990 (10),0.1321 (14),0.7111 (9),0.2421 (16),2.02 (15),
180661,asml.intel.com,12.80 (13),0.2604 (19),0.5017 (8),0.1946 (10),0.7131 (8),0.0619 (19),2.03 (14),
173271,SkidanovAlex,14.20 (14),0.5103 (14),0.4266 (14),0.1145 (15),0.3672 (17),0.2761 (11),5.03 (8),
168121,bellar,15.20 (15),0.4103 (17),0.3932 (16),0.0933 (16),0.5409 (15),0.2617 (12),2.02 (17),
168181,sulim,15.20 (15),0.4103 (17),0.3932 (16),0.0933 (16),0.5409 (15),0.2617 (12),2.02 (16),
168211,AutoMl_imad,15.20 (15),0.4119 (16),0.3932 (16),0.0785 (17),0.5412 (14),0.2608 (13),4431.38 (2),
171671,batTeam,15.20 (15),0.4123 (15),0.3932 (16),0.0785 (17),0.5412 (14),0.2605 (14),4235.45 (3),
168111,reference,16.00 (16),0.4092 (18),0.3251 (17),0.0785 (17),0.5415 (13),0.2604 (15),3991.29 (4),
173201,hmendozap,19.00 (17),-0.2585 (20),0.0012 (18),0.0175 (18),-3.2074 (19),-0.0000 (20),4.04 (9),
159611,levesque,19.60 (18),-1.0000 (21),-0.2116 (19),-1.0000 (19),-1.0000 (18),-0.3590 (21),1.01 (22),
