submission_pk,User,Prediction score,Duration
785657,guyon,0.3018 (1),0.00 (1),
827876,mdsalem17,0.2486 (2),0.00 (1),
835763,Paavo,0.2468 (3),0.00 (1),
821289,mykola_liashuha,0.2465 (4),0.00 (1),
821691,llamalle,0.2280 (5),0.00 (1),
821267,NourJemli,0.2280 (5),0.00 (1),
819547,moha3lans,0.2280 (5),0.00 (1),
816160,eric_saga,0.2280 (5),0.00 (1),
794000,Thibaut,0.2280 (5),0.00 (1),
787603,ihsanullah2131,0.2280 (5),0.00 (1),
829033,saulo_msantos,0.2232 (6),0.00 (1),
856462,mevrard,-1.0000 (7),0.00 (1),
818314,ecologists,-1.0000 (7),0.00 (1),
