submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940322,HW-TSC,1.60 (1),0.2581 (1),0.4951 (1),0.6248 (2),2243954093.0 (2),560944640.0 (2),
940433,IST-Unbabel,2.40 (3),0.1687 (2),0.4157 (3),0.7424 (1),2294887576.0 (3),569368609.0 (3),
940585,fblain,2.00 (2),0.1310 (3),0.4366 (2),0.4974 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940322,HW-TSC,1.80 (2),0.1523 (1),0.1797 (1),0.7628 (3),2243954093.0 (2),560944640.0 (2),
940585,fblain,1.60 (1),0.0361 (2),0.0595 (2),0.9617 (2),1142441796.0 (1),281297685.0 (1),
940433,IST-Unbabel,2.60 (3),0.0246 (3),0.0158 (3),0.9687 (1),2294887576.0 (3),569368609.0 (3),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940322,HW-TSC,1.80 (1),0.2166 (1),0.4157 (1),0.6023 (3),2243954093.0 (2),560944640.0 (2),
940433,IST-Unbabel,2.20 (3),0.2099 (2),0.3939 (2),0.8082 (1),2294887576.0 (3),569368609.0 (3),
940585,fblain,2.00 (2),0.1749 (3),0.3927 (3),0.6932 (2),1142441796.0 (1),281297685.0 (1),
