submission_pk,User,AUC,MRR,nDCG@5,nDCG@10
989646,UniUM-Fastformer-Pretrain,0.7304 (1),0.3770 (1),0.4180 (1),0.4718 (1),
965781,MINER,0.7275 (2),0.3724 (3),0.4102 (3),0.4661 (3),
953845,UniUM-Fastformer,0.7268 (3),0.3745 (2),0.4151 (2),0.4684 (2),
1091340,Riiid,0.7252 (4),0.3709 (4),0.4089 (5),0.4647 (4),
1073060,SUDA_NLP_HY,0.7244 (5),0.3691 (6),0.4065 (6),0.4627 (6),
820417,UniUM,0.7243 (6),0.3706 (5),0.4101 (4),0.4644 (5),
1059680,rollingUp,0.7242 (7),0.3689 (7),0.4062 (7),0.4624 (7),
1058547,NoParty4PR,0.7210 (8),0.3667 (11),0.4040 (10),0.4602 (9),
815027,chenghuige,0.7209 (9),0.3676 (10),0.4040 (10),0.4597 (10),
813697,UNBERT,0.7207 (10),0.3677 (9),0.4041 (9),0.4602 (9),
1076719,only2233,0.7201 (11),0.3688 (8),0.4059 (8),0.4617 (8),
915059,wsm_SotA,0.7196 (12),0.3636 (12),0.3998 (11),0.4560 (11),
719814,fuxictr,0.7143 (13),0.3613 (14),0.3964 (13),0.4526 (14),
719848,wcy419hh,0.7143 (13),0.3616 (13),0.3967 (12),0.4529 (12),
1068622,guody,0.7137 (14),0.3613 (14),0.3962 (14),0.4527 (13),
1047747,Lil.Forest,0.7134 (15),0.3591 (15),0.3951 (15),0.4518 (15),
719810,dtsnu,0.7114 (16),0.3568 (21),0.3916 (20),0.4485 (19),
719926,started2givingup,0.7113 (17),0.3585 (16),0.3933 (16),0.4498 (16),
1091733,haibaraqy,0.7112 (18),0.3546 (25),0.3888 (26),0.4458 (23),
817036,akirasosa,0.7103 (19),0.3539 (29),0.3876 (30),0.4445 (28),
1021113,namespace-Pt,0.7101 (20),0.3557 (23),0.3901 (21),0.4470 (21),
897607,SFI,0.7101 (20),0.3577 (19),0.3922 (19),0.4485 (19),
1062368,fake_news,0.7099 (21),0.3579 (18),0.3927 (17),0.4497 (17),
719802,oahciy,0.7096 (22),0.3540 (28),0.3883 (28),0.4454 (26),
719930,WONNIU,0.7095 (23),0.3569 (20),0.3916 (20),0.4481 (20),
909230,wsm_88888888,0.7092 (24),0.3541 (27),0.3881 (29),0.4448 (27),
1072182,xcdt123,0.7085 (25),0.3541 (27),0.3885 (27),0.4455 (25),
954720,martin_bi,0.7085 (25),0.3581 (17),0.3926 (18),0.4489 (18),
784451,codefish,0.7082 (26),0.3560 (22),0.3897 (22),0.4457 (24),
719953,NoahRS,0.7061 (27),0.3552 (24),0.3895 (24),0.4459 (22),
1039610,smhe,0.7060 (28),0.3544 (26),0.3891 (25),0.4457 (24),
1002483,doubleQ,0.7059 (29),0.3514 (31),0.3847 (33),0.4418 (31),
934166,DistillRec,0.7057 (30),0.3552 (24),0.3896 (23),0.4458 (23),
787129,littlefile,0.7052 (31),0.3535 (30),0.3869 (31),0.4432 (29),
719807,Ravox,0.7048 (32),0.3505 (32),0.3845 (34),0.4416 (32),
910661,guiltrex,0.7038 (33),0.3504 (33),0.3838 (35),0.4408 (33),
1107388,veason,0.7033 (34),0.3535 (30),0.3860 (32),0.4429 (30),
719808,Qinne,0.7032 (35),0.3496 (35),0.3830 (37),0.4397 (35),
868195,MengyanZhang,0.7031 (36),0.3496 (35),0.3833 (36),0.4403 (34),
1099213,alice.jw,0.7026 (37),0.3498 (34),0.3825 (38),0.4395 (36),
793626,MIND_Organizer,0.7012 (38),0.3482 (37),0.3808 (42),0.4377 (39),
1020291,noah_lijian,0.7004 (39),0.3475 (41),0.3803 (44),0.4374 (40),
1146459,test_competition,0.6997 (40),0.3473 (42),0.3796 (45),0.4363 (43),
1090926,Kimyungi,0.6993 (41),0.3463 (45),0.3780 (49),0.4352 (47),
1031878,Coloratura,0.6991 (42),0.3475 (41),0.3793 (46),0.4365 (42),
719803,xyzhang,0.6980 (43),0.3476 (40),0.3814 (39),0.4383 (38),
719831,YangZhenghong,0.6979 (44),0.3480 (38),0.3809 (41),0.4377 (39),
719839,gcc_microsoft,0.6979 (44),0.3479 (39),0.3806 (43),0.4373 (41),
1042859,hawei,0.6969 (45),0.3422 (62),0.3732 (67),0.4309 (64),
719816,huailei,0.6968 (46),0.3492 (36),0.3812 (40),0.4386 (37),
719772,hanyan,0.6964 (47),0.3441 (54),0.3764 (55),0.4336 (52),
1074129,h_h_h_h_h_h_,0.6960 (48),0.3467 (44),0.3793 (46),0.4361 (44),
809384,Chenbin_Zhang,0.6960 (48),0.3469 (43),0.3791 (47),0.4356 (45),
914912,ml4lyfe,0.6957 (49),0.3452 (48),0.3778 (50),0.4350 (49),
1081984,HerbertOnRoad,0.6952 (50),0.3433 (57),0.3747 (61),0.4317 (61),
719837,lixmcm,0.6952 (50),0.3438 (56),0.3765 (54),0.4335 (53),
1035072,Liangzhuge,0.6951 (51),0.3460 (46),0.3785 (48),0.4353 (46),
719873,duchunning,0.6951 (51),0.3428 (59),0.3753 (58),0.4324 (58),
719836,fanxiaoxing,0.6949 (52),0.3448 (50),0.3770 (52),0.4336 (52),
851739,libowei,0.6948 (53),0.3456 (47),0.3773 (51),0.4338 (51),
1128733,SA-NRMS,0.6947 (54),0.3443 (53),0.3764 (55),0.4334 (54),
763376,Chiu,0.6946 (55),0.3444 (52),0.3759 (57),0.4326 (56),
786277,Ruixinhua,0.6943 (56),0.3433 (57),0.3748 (60),0.4318 (60),
719800,overlord,0.6942 (57),0.3445 (51),0.3767 (53),0.4332 (55),
1124600,SunYunLong,0.6941 (58),0.3422 (62),0.3739 (63),0.4311 (63),
719758,id500,0.6935 (59),0.3451 (49),0.3773 (51),0.4344 (50),
