submission_pk,User,Pearson r,MAE,RMSE
652767,NiuTrans,0.7323 (1),0.5294 (6),0.6527 (5),
652535,tharindu,0.7218 (2),0.4803 (4),0.5956 (4),
650257,ssun32,0.7177 (3),0.4077 (1),0.5274 (1),
652405,TMUOU,0.6861 (4),0.4175 (2),0.5430 (2),
652684,Joao1996,0.6728 (5),0.4327 (3),0.5688 (3),
652493,ddk,0.5832 (6),0.5472 (8),0.7194 (8),
652669,mhkane_225,0.5455 (7),0.5379 (7),0.6825 (7),
708827,bicici,0.5063 (8),0.5249 (5),0.6628 (6),
652029,mfomicheva,0.4887 (9),0.8950 (10),1.0615 (10),
653777,jackielo,0.4644 (10),0.9242 (11),1.1466 (11),
600499,fblain,0.3762 (11),0.7880 (9),0.9990 (9),
