submission_pk,User,< Rank >,subtask1_f1_score,subtask2_f1_score,Correct Submission
632783,Christian.Gawron,4.5000 (2),0.8334 (4),0.0000 (5),1.0 (1),
486720,Raghavan,2.5000 (5),0.8783 (1),0.3947 (4),1.0 (1),
486715,benf,3.0000 (4),0.8661 (3),0.4451 (3),1.0 (1),
486572,vumaasha,1.5000 (6),0.8673 (2),0.6722 (1),1.0 (1),
485071,remstef,3.5000 (3),0.8002 (5),0.5326 (2),1.0 (1),
484401,dijkstra96,6.0000 (1),- (6),- (6),1.0 (1),
