submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
837319,chenliangyux,29.2533 (1),0.8190 (1),-1.0000 (1),0.0 (2),0.0 (2),
837849,dhyeonlee,29.1677 (2),0.8183 (2),4.3700 (11),0.0 (2),0.0 (2),
837604,zhihongp,29.1355 (3),0.8170 (4),18.8300 (14),0.0 (2),0.0 (2),
837328,jieZhang,29.1091 (4),0.8171 (3),-1.0000 (1),-1.0 (3),-1.0 (1),
835961,SRCB-Z,29.1020 (5),0.8165 (5),0.0100 (2),0.0 (2),0.0 (2),
817630,htc,29.0124 (6),0.8141 (7),100.0000 (16),0.0 (2),1.0 (3),
826201,q935970314,28.9430 (7),0.8145 (6),-1.0000 (1),-1.0 (3),-1.0 (1),
837586,giantpandacv,28.7507 (8),0.8093 (9),80.0000 (15),0.0 (2),0.0 (2),
816624,SEU_zzz,28.6793 (9),0.8103 (8),1.6000 (10),0.0 (2),0.0 (2),
837177,swz30,28.6637 (10),0.8082 (10),0.2000 (5),0.0 (2),0.0 (2),
833100,prmpwr,28.6047 (11),0.8069 (11),-1.0000 (1),-1.0 (3),-1.0 (1),
833492,hellosr,28.5522 (12),0.8058 (12),-1.0000 (1),-1.0 (3),-1.0 (1),
829314,SYJ,28.3773 (13),0.8010 (13),1.5000 (9),0.0 (2),0.0 (2),
829946,hmroh,28.3070 (14),0.7988 (15),0.3270 (6),0.0 (2),0.0 (2),
837595,xiaozhazha,28.2923 (15),0.7998 (14),0.0100 (2),0.0 (2),0.0 (2),
773661,wh_njust,28.1344 (16),0.7955 (16),0.2000 (5),0.0 (2),0.0 (2),
813977,wangwei,27.9202 (17),0.7913 (17),0.0100 (2),0.0 (2),0.0 (2),
836170,Dseny,27.8912 (18),0.7866 (19),0.0200 (4),0.0 (2),0.0 (2),
811127,cydiachen,27.8076 (19),0.7869 (18),10.4300 (13),1.0 (1),1.0 (3),
827742,suen,27.7579 (20),0.7869 (18),-1.0000 (1),-1.0 (3),-1.0 (1),
837635,ms_ipcv,27.6475 (21),0.7832 (20),1.0000 (7),0.0 (2),0.0 (2),
820350,AlexZou,27.5166 (22),0.7812 (21),10.4300 (13),0.0 (2),1.0 (3),
811929,QiangLiu,27.4741 (23),0.7800 (22),1.2000 (8),0.0 (2),0.0 (2),
827153,Ruikang_Xu,27.2327 (24),0.7792 (23),-1.0000 (1),-1.0 (3),-1.0 (1),
827661,YeobKim,26.9954 (25),0.7669 (25),0.0120 (3),0.0 (2),0.0 (2),
832855,parasmaharjan,26.3693 (26),0.7543 (26),9.1900 (12),0.0 (2),1.0 (3),
832657,LeonShangguan,26.2480 (27),0.7677 (24),0.0100 (2),1.0 (1),0.0 (2),
764599,SeungjunNah,26.2480 (27),0.7677 (24),0.0100 (2),1.0 (1),0.0 (2),
823024,momooo,25.5418 (28),0.7239 (27),-1.0000 (1),0.0 (2),0.0 (2),
768169,zyxiao,25.0457 (29),0.7190 (28),-1.0000 (1),-1.0 (3),-1.0 (1),
