submission_pk,User,Mean-Average-Precision,Average-Precision,R-Precision,Reciprical-Rank,Precision@3,Precision@5,Precision@10
875928,msaidzengin,0.581 (1),0.581 (1),0.585 (1),1.000 (1),1.000 (1),0.800 (2),0.700 (3),
877509,busecarik,0.574 (2),0.574 (2),0.585 (1),1.000 (1),1.000 (1),1.000 (1),0.800 (2),
879203,maramhasanain,0.525 (3),0.525 (3),0.503 (3),1.000 (1),1.000 (1),1.000 (1),0.800 (2),
877035,ibaris,0.517 (4),0.517 (4),0.508 (2),1.000 (1),1.000 (1),1.000 (1),1.000 (1),
876010,EvanUp,0.402 (5),0.402 (5),0.415 (4),0.250 (2),0.000 (3),0.400 (4),0.400 (4),
877664,sshaar,0.354 (6),0.354 (6),0.311 (5),1.000 (1),0.667 (2),0.600 (3),0.700 (3),
