submission_pk,User,CER
773230,litmitc,0.24 (1),
773399,hoainv,0.29 (2),
773691,phamnhattruong.skyo,0.35 (3),
774001,emcadoicobietcodelagi,0.35 (4),
770733,BK_OCR,0.44 (5),
772704,cuongnd,0.77 (6),
772602,SDSV_AICR,0.78 (7),
770698,ducnt97,0.79 (8),
770984,traunhi_love11,0.84 (9),
760336,Tung-nguyen,0.95 (10),
770249,haituuuuu,0.97 (11),
773004,Nigma.Miracle,0.97 (11),
758233,SDSV_AICR,0.98 (12),
761038,ShuaiLi,0.99 (13),
757839,mc-ocr-organizers,0.99 (13),
773670,E10.8,1.00 (14),
submission_pk,User,RMSE
770733,BK_OCR,0.10 (1),
770249,haituuuuu,0.11 (2),
773399,hoainv,0.13 (3),
773230,litmitc,0.13 (4),
770698,ducnt97,0.14 (5),
772704,cuongnd,0.14 (6),
772602,SDSV_AICR,0.14 (6),
761038,ShuaiLi,0.15 (7),
770984,traunhi_love11,0.17 (8),
773004,Nigma.Miracle,0.17 (9),
774001,emcadoicobietcodelagi,0.22 (10),
773691,phamnhattruong.skyo,0.22 (10),
758233,SDSV_AICR,0.22 (10),
757839,mc-ocr-organizers,0.22 (10),
760336,Tung-nguyen,0.25 (11),
773670,E10.8,1.00 (12),
