submission_pk,User,F1,Precision,Recall
1065480,jplu,0.941 (1),0.945 (1),0.936 (1),
1037527,ChenGuimin,0.873 (2),0.872 (2),0.873 (3),
1064203,pvf,0.871 (3),0.867 (3),0.874 (2),
1073026,emanuela.boros,0.859 (4),0.855 (4),0.864 (4),
1026001,cool,0.838 (5),0.839 (5),0.839 (6),
1027666,AmirSartipi,0.832 (6),0.815 (6),0.852 (5),
1032347,Wolk1612,0.792 (7),0.776 (7),0.808 (8),
1047008,goga,0.779 (8),0.752 (9),0.811 (7),
1030860,multiconer_codalab_2022,0.774 (9),0.763 (8),0.787 (9),
