submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
939095,HW-TSC,2.00 (1),0.5615 (1),0.2247 (2),0.1599 (1),2243954093.0 (3),560944640.0 (3),
938298,IST-Unbabel,2.60 (3),0.5389 (2),0.2243 (1),0.1645 (2),2294845131.0 (4),569360411.0 (4),
940563,fblain,2.40 (2),0.4475 (3),0.2553 (4),0.1875 (3),1142441796.0 (1),281297685.0 (1),
936011,shch,3.00 (4),0.3760 (4),0.2511 (3),0.1887 (4),1363652116.0 (2),502000000.0 (2),
