submission_pk,User,Prediction
871682,cly,0.9235 (1),
899284,aikin,0.9219 (2),
668355,chd_jianfeng,0.9202 (3),
995656,rbync,0.9143 (4),
515058,raomb,0.9043 (5),
594448,jinhou,0.8981 (6),
909352,zwg,0.8748 (7),
622572,piter,0.8603 (8),
531106,liuguang,0.8224 (9),
960684,brch,0.7358 (10),
760486,yky,0.6393 (11),
761474,gxxfighting,0.6069 (12),
659712,biggeo,0.1948 (13),
676433,nbrodic88,0.1646 (14),
