submission_pk,User,APDR,mAP
656538,Wenger.Chang,0.00 (1),0.11 (1),
655352,cdycdy,0.00 (1),0.05 (4),
655287,wxw,0.00 (1),0.10 (3),
653303,zhou13,0.00 (1),0.10 (2),
