submission_pk,User,Mean Average Precision
627833,lingeo,0.3929 (1),
623531,moqi,0.2338 (2),
603245,zhaohang0124,0.1610 (3),
627336,pilhyeon,0.1353 (4),
627726,frost,0.0344 (5),
