submission_pk,User,All-Masked (MFR),Wild-Masked (MFR),Controlled-Masked (MFR),All (SFR),Wild (SFR),Controlled (SFR),Detection Time,Recognition Time,Total Time
986558,agir,0.0757 (1),0.0959 (1),0.0449 (2),0.0148 (2),0.0247 (3),0.0017 (2),149.00 (12),823.00 (61),972.00 (60),
973378,Ethan.y,0.0769 (2),0.0990 (2),0.0419 (1),0.0241 (11),0.0387 (13),0.0021 (4),146.00 (9),674.00 (53),820.00 (51),
986554,mind_ft,0.0846 (3),0.1036 (3),0.0539 (6),0.0145 (1),0.0240 (1),0.0016 (1),147.00 (10),587.00 (46),734.00 (46),
985723,longxu,0.0853 (4),0.1071 (5),0.0489 (3),0.0250 (15),0.0385 (12),0.0023 (6),74.00 (3),879.00 (64),953.00 (59),
985797,victor-2021,0.0854 (5),0.1048 (4),0.0547 (8),0.0148 (2),0.0244 (2),0.0017 (2),196.00 (27),694.00 (55),890.00 (55),
985179,betterone,0.0883 (6),0.1117 (7),0.0525 (5),0.0231 (9),0.0375 (11),0.0021 (4),179.00 (26),515.00 (43),694.00 (43),
985372,Liuftvafas,0.0885 (7),0.1114 (6),0.0524 (4),0.0231 (9),0.0373 (10),0.0022 (5),94.00 (5),787.00 (57),881.00 (54),
982370,min.yang,0.0912 (8),0.1145 (10),0.0550 (9),0.0244 (12),0.0394 (15),0.0024 (7),151.00 (14),387.00 (35),538.00 (34),
983258,wzw,0.0920 (9),0.1158 (11),0.0545 (7),0.0246 (13),0.0398 (16),0.0023 (6),240.00 (31),349.00 (31),589.00 (37),
985816,Aristarh,0.0922 (10),0.1163 (12),0.0550 (9),0.0248 (14),0.0398 (16),0.0024 (7),27.00 (2),401.00 (38),428.00 (18),
984427,hukangli,0.0925 (11),0.1127 (8),0.0602 (12),0.0163 (3),0.0273 (4),0.0017 (2),92.00 (4),816.00 (59),908.00 (56),
985373,wjtan99,0.0928 (12),0.1128 (9),0.0599 (11),0.0165 (4),0.0275 (5),0.0017 (2),98.00 (6),822.00 (60),920.00 (57),
984378,HYL_Dave,0.0972 (13),0.1170 (13),0.0658 (14),0.0148 (2),0.0247 (3),0.0017 (2),145.00 (8),833.00 (62),978.00 (61),
983237,gongbudaizhe,0.0993 (14),0.1207 (14),0.0654 (13),0.0203 (7),0.0330 (8),0.0025 (8),149.00 (12),946.00 (68),1095.00 (66),
977565,lcx2,0.1015 (15),0.1287 (18),0.0589 (10),0.0308 (21),0.0497 (25),0.0030 (13),146.00 (9),599.00 (48),745.00 (47),
976860,INFOteam,0.1022 (16),0.1244 (15),0.0683 (16),0.0172 (6),0.0287 (7),0.0020 (3),152.00 (15),1150.00 (73),1302.00 (70),
976856,tmind,0.1031 (17),0.1304 (19),0.0602 (12),0.0312 (22),0.0503 (26),0.0030 (13),146.00 (9),602.00 (49),748.00 (48),
980254,AntonS,0.1032 (18),0.1247 (16),0.0678 (15),0.0220 (8),0.0343 (9),0.0025 (8),199.00 (28),632.00 (50),831.00 (52),
954791,sleepybear,0.1037 (19),0.1248 (17),0.0699 (17),0.0168 (5),0.0277 (6),0.0020 (3),157.00 (17),497.00 (40),654.00 (39),
974356,Jim_1021,0.1182 (20),0.1472 (21),0.0715 (18),0.0336 (24),0.0540 (28),0.0034 (15),148.00 (11),309.00 (22),457.00 (24),
971465,sinica,0.1187 (21),0.1442 (20),0.0776 (20),0.0237 (10),0.0388 (14),0.0025 (8),148.00 (11),369.00 (33),517.00 (32),
971939,amyburden,0.1245 (22),0.1495 (22),0.0829 (25),0.0250 (15),0.0404 (18),0.0029 (12),150.00 (13),1490.00 (76),1640.00 (73),
983400,fh_nj,0.1305 (23),0.1557 (23),0.0895 (30),0.0254 (16),0.0402 (17),0.0027 (10),147.00 (10),789.00 (58),936.00 (58),
955362,vuvko,0.1315 (24),0.1576 (24),0.0872 (27),0.0248 (14),0.0408 (19),0.0028 (11),156.00 (16),927.00 (67),1083.00 (65),
986541,GosNIIAS,0.1324 (25),0.1594 (25),0.0884 (29),0.0270 (17),0.0445 (22),0.0027 (10),145.00 (8),330.00 (30),475.00 (27),
955735,linkpal2021,0.1330 (26),0.1640 (28),0.0835 (26),0.0364 (25),0.0589 (29),0.0037 (16),159.00 (19),761.00 (56),920.00 (57),
972184,maoxiaofeng,0.1349 (27),0.1622 (27),0.0873 (28),0.0254 (16),0.0416 (20),0.0026 (9),145.00 (8),588.00 (47),733.00 (45),
966224,FangLF,0.1349 (27),0.1621 (26),0.0873 (28),0.0254 (16),0.0416 (20),0.0026 (9),169.00 (25),651.00 (52),820.00 (51),
954797,cheng3qing,0.1377 (28),0.1685 (30),0.0812 (21),0.0538 (35),0.0782 (38),0.0062 (28),158.00 (18),682.00 (54),840.00 (53),
