submission_pk,User,Total by language,Total by group,Total by family,Character error rate (IPA),Character error rate (spelling),Number of speakers (accuracy)
905818,alumae,0.2374 (1),0.6297 (1),0.7946 (2),1.2191 (2),1.7712 (1),0.8237 (1),
841018,NTR,0.0629 (2),0.3471 (2),0.6171 (3),1.2191 (2),1.7712 (1),0.8237 (1),
833133,gisly,0.0125 (3),0.2277 (3),0.8239 (1),1.2191 (2),1.7712 (1),0.8237 (1),
840932,dangrebenkin,-1.0000 (4),-1.0000 (4),-1.0000 (4),1.0828 (3),-1.0000 (2),- (2),
842401,acidcoma,-1.0000 (4),-1.0000 (4),-1.0000 (4),1.5723 (1),-1.0000 (2),- (2),
