submission_pk,User,Gaze Error,Gaze Error Standard Deviation
1024934,NV-Gaze,9.99 (1),8.38 (1),
1070230,OneMGaze,12.83 (2),9.17 (2),
1018436,hs1145,15.73 (3),11.90 (3),
954377,bchban,46.71 (4),21.80 (4),
