submission_pk,User,Accuracy,F-score,MRR,MAP
460505,romang,0.3404 (1),0.8673 (1),0.4588 (1),0.3404 (1),
1078125,nerdimite2,0.3153 (2),0.8551 (3),0.3153 (3),0.3153 (2),
460650,saeednajafi,0.3042 (3),0.8569 (2),0.4198 (2),0.3042 (3),
1071883,yashraj2000,0.2831 (4),0.8404 (4),0.2831 (4),0.2831 (4),
460641,soumyadeep,0.2641 (5),0.8345 (5),0.2641 (5),0.2641 (5),
