submission_pk,User,ARI
736119,Artem_Vazhentsev,0.3262 (1),
738784,alexbelov,0.3096 (2),
737243,alexalexalex,0.2714 (3),
735779,palette_knife25,0.2688 (4),
737820,eugeneavd,0.2629 (5),
723333,dementyeva_ds,0.2624 (6),
737828,vanessa,0.2414 (7),
739330,MironKuznetsov,0.2400 (8),
737652,kmisterios,0.1336 (9),
737793,davypiraylenko,0.1286 (10),
739369,alexeygb,0.0000 (11),
