submission_pk,User,mAP Strict,mAP Relaxed
915772,Team-3J,0.933 (1),0.933 (3),
911253,sohanpatnaik106,0.892 (2),0.985 (1),
916518,heinrichreimer,0.868 (3),0.983 (2),
