submission_pk,User,APCER,BPCER,RANK<ACER>
564739,a.parkin,0.0185 (1),3.2500 (6),1.6343 (1),
562335,hirotong,0.0926 (2),13.1667 (25),6.6296 (6),
563823,huangzh,0.4630 (3),3.5833 (7),2.0231 (2),
563846,ccq195,2.0370 (4),4.1667 (9),3.1019 (3),
563957,ZhangTT,6.0185 (5),8.4167 (15),7.2176 (7),
564741,harvest,6.9815 (6),8.2500 (14),7.6157 (8),
564688,Bobo,7.5370 (7),2.0833 (4),4.8102 (4),
560608,ZhangTT,7.5741 (8),10.6667 (20),9.1204 (9),
564083,QinBo,8.2963 (9),1.7500 (3),5.0231 (5),
559645,knock2,8.8148 (10),9.6667 (18),9.2407 (10),
559203,WM,8.8704 (11),10.5000 (19),9.6852 (12),
561790,WangDH,9.0926 (12),11.5000 (21),10.2963 (13),
564531,newland_tianyan,10.3519 (13),8.7500 (16),9.5509 (11),
560606,ddddddqiu,11.7037 (14),64.6667 (36),38.1852 (31),
564509,xinying55,13.3889 (15),7.3333 (12),10.3611 (14),
563026,huangying2019,14.9259 (16),86.2500 (40),50.5880 (39),
563530,GuoshengZhang,20.4444 (17),34.0833 (35),27.2639 (22),
557917,matchagreenteaa,23.7037 (18),66.1667 (38),44.9352 (35),
564515,leo_hou,24.6667 (19),19.0000 (29),21.8333 (18),
557835,matchaisyums,27.0556 (20),65.2500 (37),46.1528 (38),
559740,leo_hou,27.5185 (21),23.7500 (33),25.6343 (19),
559675,powermano,28.4815 (22),14.1667 (27),21.3241 (17),
564435,yangjin,30.1667 (23),6.2500 (10),18.2083 (15),
564087,quokka,39.3148 (24),0.5000 (1),19.9074 (16),
561235,shangfeng_q,44.9630 (25),78.5000 (39),61.7315 (40),
563431,zhikang,48.5741 (26),9.5833 (17),29.0787 (23),
561032,wugang,48.7222 (27),11.6667 (23),30.1944 (25),
559977,burning,50.1111 (28),3.6667 (8),26.8889 (21),
563262,wgqtmac,52.2037 (29),1.4167 (2),26.8102 (20),
556387,SLIDES,53.5185 (30),20.4167 (31),36.9676 (29),
557127,nocknock,54.1852 (31),26.5000 (34),40.3426 (33),
558549,hulking,55.0556 (32),20.8333 (32),37.9444 (30),
564085,Hisign,55.5370 (33),2.7500 (5),29.1435 (24),
558561,fanghaocheng,55.6481 (34),6.9167 (11),31.2824 (26),
550272,hulking,57.0926 (35),11.7500 (24),34.4213 (27),
564667,winnerRGB,59.2407 (36),17.1667 (28),38.2037 (32),
564647,itrushkin,62.6667 (37),19.9167 (30),41.2917 (34),
527654,gesture_challenge,65.6667 (38),7.5833 (13),36.6250 (28),
559618,shangfeng_q,77.2407 (39),13.3333 (26),45.2870 (36),
549953,theone,79.5185 (40),11.5833 (22),45.5509 (37),
564512,mor,- (41),- (41),- (41),
564333,lifeplayer,- (41),- (41),- (41),
563765,superlow,- (41),- (41),- (41),
563763,keeprun,- (41),- (41),- (41),
562606,liuxiaolong,- (41),- (41),- (41),
549630,forzamilan,- (41),- (41),- (41),
