submission_pk,User,Accuracy
520256,UniUrboss,0.7333 (1),
520317,FedeOx,0.7067 (2),
520313,Marcello,0.7067 (2),
520276,AFR,0.7067 (2),
520262,Johnn,0.7067 (2),
520316,serendipity,0.7000 (3),
520312,PHEY,0.7000 (3),
520315,Bazinga,0.6933 (4),
520309,SPM,0.6867 (5),
520289,Nyquist,0.6867 (5),
520271,PartTimeTeam,0.6867 (5),
520319,Rated-E,0.6800 (6),
520314,Delu,0.6733 (7),
520277,ml_s_e,0.6667 (8),
520267,MartinaC,0.6667 (8),
520291,TheStonks,0.6533 (9),
520272,stocastico,0.6333 (10),
520282,albi_pagno,0.6000 (11),
520285,prisca-magadjou,0.5867 (12),
