submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
941032,HW-TSC,1.40 (1),0.6314 (1),0.2021 (1),0.1525 (1),2243954093.0 (2),560944640.0 (2),
940608,IST-Unbabel,2.40 (3),0.5970 (2),0.2188 (2),0.1710 (2),2294887576.0 (3),569368609.0 (3),
940554,fblain,2.20 (2),0.5017 (3),0.2352 (3),0.1880 (3),1142441796.0 (1),281297685.0 (1),
