submission_pk,User,ARI (public),ARI (private)
439289,jamsic,0.2643 (1),0.2477 (1),
439280,Pavel,0.2361 (4),0.2270 (2),
439281,Timon,0.2324 (5),0.2222 (3),
439295,thebestdeeplearningspecialist,0.2297 (6),0.2194 (4),
439284,akutuzov,0.2396 (3),0.2144 (5),
439282,aby2s,0.2465 (2),0.1985 (6),
439290,joystick,0.1890 (8),0.1939 (7),
439279,ezhick179,0.1899 (7),0.1839 (8),
439277,lopuhin,0.1764 (9),0.1538 (9),
439293,ostruyanskiy,0.1515 (10),0.1403 (10),
439283,akapustin,0.1337 (11),0.1183 (11),
439291,mikhal,0.0909 (12),0.0830 (12),
439286,bokan,0.0868 (13),0.0648 (13),
439292,nsu_ai,0.0586 (15),0.0636 (14),
439288,fogside,0.0676 (14),0.0511 (15),
439287,eugenys,0.0509 (16),0.0467 (16),
439294,sreya1,0.0271 (17),0.0166 (17),
439278,dustalov,-0.0001 (19),0.0002 (18),
439296,tpederse,0.0110 (18),-0.0053 (19),
