submission_pk,User,Score
970746,yuzheming,0.630532 (1),
970610,Sheldong,0.613722 (2),
971065,JosonChan,0.605059 (3),
967507,fangwudi,0.590167 (4),
971145,uestc.wxh,0.536067 (5),
970252,hubincsu,0.490984 (6),
968996,scc1997,0.490984 (6),
970255,KGH,0.486483 (7),
965034,zhao_THU,0.434311 (8),
971363,TerminusBazinga,0.396735 (9),
965039,cjx_AILab,0.370753 (10),
970541,xubocheng,0.358834 (11),
965616,haifwu,0.247614 (12),
969399,Aicity,0.189669 (13),
968680,fog,0.188455 (14),
