submission_pk,User,NDCG
841669,DeepBlueAI,0.8198 (1),
841740,vivekkalyan,0.7705 (2),
835835,yuejiaxiang,0.7003 (3),
840951,iiacobac,0.6831 (4),
825544,dustalov,0.5010 (5),
