submission_pk,User,Average ALC,Average Final Score
1091011,irissy,0.25 (1),0.45 (2),
1090524,pprp,0.24 (2),0.45 (1),
1078942,Mlxa,0.22 (3),0.39 (3),
1069464,hungnm,0.22 (3),0.39 (3),
