submission_pk,User,Pearson r,MAE,RMSE
652712,NiuTrans,0.6748 (1),0.1250 (1),0.1563 (1),
652636,Tencent-MTandPCG,0.6641 (2),0.1293 (3),0.1596 (2),
652559,Joao1996,0.6505 (3),0.1353 (8),0.1705 (10),
653045,Raphael_NICT,0.6425 (4),0.1286 (2),0.1609 (3),
633212,cuiqu,0.6423 (5),0.1286 (2),0.1612 (4),
651100,zksj,0.6422 (6),0.1325 (4),0.1633 (5),
711994,dual,0.6353 (7),0.1342 (6),0.1665 (7),
740463,dual2,0.6317 (8),0.1338 (5),0.1647 (6),
659553,LisaIan,0.6130 (9),0.1357 (9),0.1687 (9),
644442,tharindu,0.6119 (10),0.1351 (7),0.1681 (8),
650625,qst,0.6113 (11),0.1457 (15),0.1796 (16),
676412,chencong,0.5999 (12),0.1433 (13),0.1745 (12),
705712,jxnu_hxm,0.5997 (13),0.1387 (10),0.1731 (11),
652465,ddk,0.5925 (14),0.1426 (12),0.1754 (13),
650129,niuniuniu,0.5693 (15),0.1419 (11),0.1769 (15),
645467,aj54,0.5521 (16),0.1446 (14),0.1761 (14),
712936,Hancheng_Deng,0.5282 (17),0.1492 (17),0.1861 (18),
603578,fblain,0.5058 (18),0.1470 (16),0.1814 (17),
643010,erickrf,0.4723 (19),0.1522 (18),0.1898 (19),
1024957,bicici,0.4043 (20),0.1574 (19),0.1933 (20),
