submission_pk,User,AMCA,AMCA_Pedestrian,AMCA_Cyclist,AMCA_Car,AMCA_Truck,AMCA_Tram,AMCA_Tricycle
974269,xdcvxiaodui,81.77 (1),90.93 (1),76.81 (1),97.44 (1),97.04 (1),92.53 (1),35.84 (1),
989889,ggraffieti,72.00 (2),89.01 (2),51.77 (4),91.20 (6),88.39 (3),77.65 (2),33.98 (2),
979894,houge,68.78 (3),72.62 (4),63.72 (2),95.42 (3),94.56 (2),66.54 (3),19.82 (3),
988027,mrifkikurniawan,64.01 (4),81.09 (3),56.70 (3),86.07 (8),87.86 (4),62.39 (4),9.95 (4),
974590,xialei,56.83 (5),70.79 (5),49.46 (6),95.58 (2),84.23 (5),40.93 (6),0.00 (6),
973907,dmitrykonovalov,53.55 (6),59.25 (6),50.63 (5),94.77 (4),82.45 (6),30.65 (7),3.56 (5),
973076,azamat_sab,46.58 (7),47.25 (7),21.33 (9),87.12 (7),79.32 (7),44.44 (5),0.00 (6),
940308,sslad2021,43.41 (8),41.35 (8),28.94 (7),93.47 (5),71.76 (8),24.97 (8),0.00 (6),
990080,sneezygiraffe,7.54 (9),6.46 (9),24.39 (8),11.82 (9),2.58 (9),0.00 (9),0.00 (6),
