submission_pk,User,Rank,Score 1,Score 2,Score 3,Score 4
574870,mmmm,0.823 (1),0.724 (1),0.819 (1),0.862 (1),0.887 (1),
573891,gmorio,0.814 (2),0.715 (2),0.811 (3),0.851 (6),0.880 (3),
571524,sahild,0.810 (3),0.694 (5),0.812 (2),0.854 (3),0.879 (4),
571232,ashatilov,0.805 (4),0.677 (8),0.803 (4),0.858 (2),0.881 (2),
571292,king001,0.799 (5),0.677 (8),0.799 (5),0.850 (7),0.870 (7),
570622,Sattiy,0.799 (6),0.676 (9),0.797 (6),0.850 (8),0.871 (6),
571530,unixlong,0.798 (7),0.674 (10),0.797 (6),0.852 (5),0.868 (9),
571385,giftai,0.798 (8),0.674 (10),0.793 (7),0.853 (4),0.870 (7),
573931,caspianR,0.796 (9),0.690 (7),0.780 (11),0.840 (10),0.873 (5),
571307,toughhou,0.796 (10),0.699 (3),0.782 (8),0.833 (14),0.870 (8),
574086,Youngyangi,0.795 (11),0.694 (5),0.780 (11),0.835 (11),0.871 (6),
570221,wolfboww,0.794 (12),0.696 (4),0.781 (9),0.831 (15),0.868 (11),
579681,daidai,0.785 (13),0.654 (13),0.775 (13),0.845 (9),0.867 (12),
575114,alonzorz,0.783 (14),0.692 (6),0.766 (17),0.822 (19),0.853 (20),
569170,Sarthak,0.783 (15),0.650 (16),0.780 (10),0.834 (12),0.868 (10),
574886,aashsach,0.781 (16),0.661 (11),0.777 (12),0.830 (16),0.859 (15),
569718,new_bill__,0.781 (17),0.655 (12),0.774 (14),0.834 (13),0.862 (14),
562030,darnox,0.781 (18),0.653 (14),0.772 (15),0.835 (11),0.863 (13),
567891,Dharani,0.774 (19),0.651 (15),0.766 (18),0.824 (17),0.857 (17),
571459,ChangjieLi,0.772 (20),0.642 (17),0.763 (19),0.823 (18),0.858 (16),
574083,AnselYang,0.767 (21),0.627 (18),0.769 (16),0.823 (18),0.850 (22),
559217,Holen,0.758 (22),0.627 (18),0.749 (21),0.809 (22),0.848 (24),
568887,zz,0.756 (23),0.610 (20),0.749 (21),0.812 (21),0.853 (20),
554528,Shuan,0.754 (24),0.612 (19),0.741 (22),0.806 (25),0.855 (19),
573996,KGlocker,0.754 (25),0.596 (22),0.752 (20),0.815 (20),0.851 (21),
579632,task10test,0.750 (26),0.608 (21),0.737 (23),0.807 (24),0.849 (23),
567625,cskanani,0.745 (27),0.591 (23),0.726 (24),0.807 (23),0.856 (18),
559216,David3,0.705 (28),0.514 (24),0.693 (25),0.784 (26),0.830 (25),
568175,vibhav.a,0.659 (29),0.479 (25),0.640 (26),0.732 (27),0.785 (26),
570799,bigkunzi,0.629 (30),0.425 (26),0.618 (27),0.716 (28),0.756 (27),
559231,DaweiLiao,0.401 (31),0.231 (27),0.373 (28),0.467 (29),0.534 (28),
