submission_pk,User,Avg,Shirt R@10,Dress R@10,Toptee R@10,Shirt R@50,Dress R@50,Toptee R@50
624397,jskim,0.52 (1),0.34 (1),0.43 (1),0.42 (1),0.58 (1),0.67 (1),0.67 (1),
619013,tianxi.tl,0.50 (2),0.33 (2),0.41 (2),0.41 (2),0.58 (2),0.66 (2),0.64 (2),
619002,ganfu.wb,0.50 (3),0.33 (2),0.41 (2),0.40 (3),0.58 (2),0.66 (2),0.64 (3),
619036,stellastra,0.48 (4),0.32 (3),0.39 (3),0.37 (4),0.56 (3),0.63 (3),0.62 (4),
618380,zyiday,0.43 (5),0.26 (4),0.33 (4),0.33 (5),0.50 (4),0.58 (4),0.59 (5),
621967,captainhazard,0.33 (6),0.19 (5),0.22 (5),0.22 (6),0.43 (5),0.47 (5),0.47 (6),
619031,egorlabintcev,0.24 (7),0.13 (6),0.15 (6),0.14 (7),0.31 (6),0.36 (6),0.35 (7),
603290,ayan7246,0.12 (8),0.06 (7),0.06 (7),0.06 (8),0.19 (7),0.20 (7),0.18 (8),
601794,williamscott701,0.01 (9),0.01 (8),0.00 (8),0.01 (9),0.02 (8),0.02 (8),0.03 (9),
